% Model,sim6_Out_t.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,
% Date,"Mar 7 2022, 14:30",,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,
% Nodes,10649,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,
% Description,Temperature,,,,,,,,,,,,,,
% Length unit,m,0.5383,0.54456,0.55082,0.55708,0.56335,0.56961,0.57587,0.58213,0.58839,0.59465,0.60092,0.60718,0.61344,0.6197
% r,z,T (K) @ thermalCo=0.5383,T (K) @ thermalCo=0.54456,T (K) @ thermalCo=0.55082,T (K) @ thermalCo=0.55708,T (K) @ thermalCo=0.56335,T (K) @ thermalCo=0.56961,T (K) @ thermalCo=0.57587,T (K) @ thermalCo=0.58213,T (K) @ thermalCo=0.58839,T (K) @ thermalCo=0.59465,T (K) @ thermalCo=0.60092,T (K) @ thermalCo=0.60718,T (K) @ thermalCo=0.61344,T (K) @ thermalCo=0.6197
0,0,0.5383,0.54456,0.55082,0.55708,0.56335,0.56961,0.57587,0.58213,0.58839,0.59465,0.60092,0.60718,0.61344,0.6197
0.00225,0.969908903,336.3641287,336.194066,336.1117029,335.9544629,335.822508,335.641566,335.5046175,335.4229566,335.2973539,335.1327811,335.0408592,334.8607897,334.7864995,334.6473829
0.00225,0.97,336.1851477,336.0177649,335.9380583,335.7833794,335.6538481,335.4753737,335.340778,335.261414,335.1380351,334.9757176,334.8859181,334.7078412,334.6356226,334.4985864
0.00225,0.969817806,336.2832088,336.1146155,336.0336009,335.8777189,335.7472225,335.5675149,335.4318534,335.3514506,335.2271027,335.0636062,334.9728738,334.7941084,334.7208632,334.5826689
0.00225,0.969726709,336.270264,336.1014924,336.0202363,335.8641612,335.7336304,335.5537229,335.4179205,335.337416,335.2129824,335.0492964,334.9584993,334.7798015,334.7064239,334.5680264
0.00225,0.969635612,336.2770037,336.1081266,336.0266782,335.870455,335.73995,335.5598798,335.4239533,335.3433724,335.2188665,335.0550015,334.9641428,334.785524,334.7120001,334.5733833
0.00225,0.969544515,336.2699735,336.1011772,336.0197259,335.8635376,335.7332337,335.5531778,335.4173041,335.3368172,335.2124081,335.0485319,334.9577765,334.7793945,334.7058852,334.5672086
0.00225,0.969453418,336.2687851,336.0999595,336.0184085,335.8621555,335.7319417,335.5518023,335.4158893,335.3353992,335.2109943,335.0470187,334.95628,334.7780364,334.7044626,334.5656508
0.00225,0.969362322,336.2651422,336.0963383,336.0147398,335.8584673,335.7283971,335.5482269,335.4123103,335.3318647,335.2074981,335.043472,334.9527883,334.7747178,334.701115,334.5622113
0.00225,0.969271225,336.2635744,336.0947544,336.0130747,335.8567468,335.7267907,335.5465566,335.410602,335.3301703,335.205809,335.0417026,334.951048,334.7731202,334.69946,334.5604395
0.00225,0.969180128,336.261507,336.0926865,336.0109332,335.8545613,335.7247438,335.5444555,335.4084735,335.3280707,335.2037281,335.0395484,334.9489359,334.7711752,334.6974637,334.5583282
0.00225,0.969089031,336.2593265,336.0905052,336.008663,335.8522395,335.7225771,335.5422266,335.4062127,335.3258425,335.2015227,335.0372592,334.9466919,334.7691236,334.6953536,334.5560858
0.00225,0.968997934,336.2565291,336.0877166,336.0058006,335.8493333,335.7198408,335.5394407,335.4033995,335.3230739,335.1987821,335.0344467,334.943937,334.7665652,334.692745,334.5533581
0.00225,0.968906837,336.2534378,336.0846299,336.0026512,335.846139,335.7168058,335.5363672,335.4002905,335.3200085,335.1957338,335.031341,334.9408861,334.763686,334.6898196,334.5503342
0.00225,0.96881574,336.2507658,336.0819478,335.9999242,335.8433617,335.7141536,335.53369,335.397559,335.3173097,335.1930243,335.0285952,334.9381808,334.7610863,334.6871768,334.5476307
0.00225,0.968724643,336.249448,336.0806175,335.9985412,335.8419257,335.7128487,335.5323411,335.39616,335.3159374,335.1916451,335.0271572,334.9367867,334.7598065,334.6858458,334.5462182
0.00225,0.968633546,336.2475017,336.0786837,335.9965656,335.8399231,335.7110058,335.5304494,335.3942583,335.3140775,335.1898185,335.0252584,334.9349606,334.7581466,334.6841496,334.5444227
0.00225,0.968542449,336.245238,336.0764232,335.9942574,335.8375807,335.7088112,335.5282087,335.3919961,335.3118524,335.1876168,335.0229899,334.932756,334.7560966,334.6820611,334.5422416
0.00225,0.968451352,336.2422792,336.0734604,335.9912443,335.8345312,335.7058914,335.5252425,335.3890038,335.3088884,335.1846692,335.0199777,334.9297974,334.7532748,334.6792,334.5392936
0.00225,0.968360255,336.2397093,336.0708807,335.9885796,335.8318043,335.7033386,335.5226305,335.386338,335.3062593,335.1820486,335.0172768,334.927152,334.7508098,334.6766711,334.5366458
0.00225,0.968269159,336.2369832,336.0681512,335.9857866,335.8289595,335.7006618,335.5199106,335.3835683,335.3035315,335.1793302,335.0144955,334.9244314,334.7482496,334.6740592,334.5339396
0.00225,0.968178062,336.2345048,336.0656615,335.983232,335.826348,335.6982072,335.5174118,335.3810114,335.3010107,335.1768104,335.0119141,334.9219053,334.7458657,334.6716226,334.5314154
