% Model,sim5_Out_t.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,
% Date,"Mar 7 2022, 14:10",,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,
% Nodes,10649,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,
% Description,Temperature,,,,,,,,,,,,,,
% Length unit,m,0.4506,0.45686,0.46312,0.46938,0.47565,0.48191,0.48817,0.49443,0.50069,0.50695,0.51322,0.51948,0.52574,0.532
% r,z,T (K) @ thermalCo=0.4506,T (K) @ thermalCo=0.45686,T (K) @ thermalCo=0.46312,T (K) @ thermalCo=0.46938,T (K) @ thermalCo=0.47565,T (K) @ thermalCo=0.48191,T (K) @ thermalCo=0.48817,T (K) @ thermalCo=0.49443,T (K) @ thermalCo=0.50069,T (K) @ thermalCo=0.50695,T (K) @ thermalCo=0.51322,T (K) @ thermalCo=0.51948,T (K) @ thermalCo=0.52574,T (K) @ thermalCo=0.532
0,0,0.4506,0.45686,0.46312,0.46938,0.47565,0.48191,0.48817,0.49443,0.50069,0.50695,0.51322,0.51948,0.52574,0.532
0.00225,0.969908903,338.5137772,338.3257453,338.1737372,338.0603228,337.872835,337.7266687,337.499256,337.3372469,337.1896028,337.0512728,336.9298215,336.7834733,336.6833167,336.4657847
0.00225,0.97,338.2883009,338.1042598,337.9560798,337.8464181,337.6625632,337.5199207,337.2959148,337.1370678,336.9929126,336.8577828,336.73941,336.5958663,336.4987935,336.2840368
0.00225,0.969817806,338.4069045,338.2211421,338.0713594,337.9600635,337.7746264,337.6304687,337.4050438,337.2451873,337.0989373,336.9622688,336.8424853,336.6980982,336.5992337,336.3833459
0.00225,0.969726709,338.3980862,338.2119329,338.0617543,337.950089,337.7642836,337.6198245,337.3941977,337.2343012,337.0874075,336.9503771,336.8302924,336.6859731,336.586614,336.3706074
0.00225,0.969635612,338.4064045,338.2201764,338.069895,337.9581223,337.7721883,337.6276506,337.4020419,337.242309,337.0948988,336.9576437,336.837378,336.6932782,336.5934975,336.3774792
0.00225,0.969544515,338.3981668,338.212071,338.0618732,337.9501985,337.7643401,337.6199254,337.3945301,337.2351504,337.0874465,336.9501703,336.829924,336.6862253,336.5862333,336.3703878
0.00225,0.969453418,338.3976148,338.211501,338.0612274,337.949508,337.7635792,337.6191461,337.3938145,337.2346326,337.0865405,336.9491242,336.8287803,336.685336,336.585045,336.3692458
0.00225,0.969362322,338.3936998,338.2076678,338.0573643,337.9456776,337.7597348,337.6153587,337.3901832,337.2312543,337.0828522,336.9453469,336.8249557,336.6818201,336.581299,336.3656031
0.00225,0.969271225,338.3925087,338.2065132,338.0561124,337.9444096,337.7583946,337.6140283,337.3889668,337.2302469,337.0814879,336.9438439,336.8233594,336.6804947,336.5797072,336.3640744
0.00225,0.969180128,338.3905246,338.2045912,338.0541262,337.9424308,337.7563685,337.6120371,337.3871226,337.2286586,337.0795251,336.9417526,336.821188,336.6786406,336.5775755,336.3620324
0.00225,0.969089031,338.3884748,338.2025954,338.0520721,337.9403779,337.754267,337.6099699,337.3852154,337.2270436,337.077474,336.9395569,336.8189002,336.6767155,336.5753225,336.3598826
0.00225,0.968997934,338.3856503,338.1998555,338.0492555,337.9375804,337.7514193,337.6071716,337.3826009,337.2247181,337.0747471,336.9366909,336.8159469,336.6741279,336.5724376,336.3571071
0.00225,0.968906837,338.3826512,338.1969451,338.0462183,337.9345553,337.7483183,337.6041101,337.3797184,337.2220627,337.0717618,336.9335652,336.8127257,336.6712175,336.5692843,336.3540445
0.00225,0.96881574,338.3802983,338.194686,338.043762,337.9321011,337.7457485,337.6015606,337.3773271,337.21979,337.0692788,336.9309407,336.809993,336.6686869,336.5666074,336.3514157
0.00225,0.968724643,338.3791536,338.1936417,338.0425813,337.930942,337.7444999,337.6003448,337.3762629,337.2189084,337.0681211,336.9296411,336.8085951,336.6675382,336.5652692,336.3501331
0.00225,0.968633546,338.3768887,338.1914887,338.0403951,337.9288148,337.7423459,337.598257,337.3743295,337.2172604,337.0661363,336.9275471,336.8064469,336.6657253,336.5632251,336.3481819
0.00225,0.968542449,338.3745907,338.1892783,338.0381027,337.9265519,337.7400249,337.5959791,337.372197,337.2153645,337.0639245,336.9252121,336.8040389,336.663614,336.560892,336.3459302
0.00225,0.968451352,338.371734,338.1864924,338.0352269,337.9236921,337.7370991,337.5930827,337.369428,337.2128032,337.0610642,336.922228,336.800978,336.6608171,336.5578828,336.342991
0.00225,0.968360255,338.3694274,338.1842755,338.0328717,337.9213428,337.7346534,337.5906712,337.3672106,337.2108599,337.0586962,336.9196788,336.7983043,336.6585061,336.5552609,336.3404665
0.00225,0.968269159,338.3668161,338.1817697,338.0302293,337.9187232,337.7319459,337.5880051,337.3647319,337.2086159,337.0561123,336.9169375,336.7954528,336.6559754,336.5524824,336.3377753
0.00225,0.968178062,338.3645735,338.1796253,338.0279338,337.916443,337.7295655,337.5856563,337.362558,337.2066517,337.0538235,336.9144863,336.792884,336.6537022,336.5499721,336.3353389
0.00225,0.968086965,338.3629348,338.1780931,338.0262312,337.9147539,337.7277611,337.5838826,337.3609732,337.2052906,337.0521035,336.9125831,336.7908458,336.6519804,336.5479884,336.3334305
0.00225,0.967995868,338.3605378,338.1758134,338.0238059,337.9123559,337.7252639,337.5814288,337.3587186,337.2032804,337.0497327,336.9100383,336.7881756,336.6496466,336.5453879,336.3309182
0.00225,0.967904771,338.3586502,338.1740318,338.0218552,337.9104197,337.7232113,337.5794032,337.3568725,337.2016272,337.0477593,336.9078866,336.7858867,336.6476426,336.5431403,336.3287369
0.00225,0.967813674,338.3566857,338.1721974,338.0198841,337.9084871,337.7211821,337.5774217,337.3550885,337.2000909,337.0458638,336.9058149,336.7836871,336.6457776,336.5410046,336.326685
0.00225,0.967722577,338.3547947,338.1704441,338.0180012,337.9066506,337.7192539,337.5755461,337.3534096,337.19866,337.044086,336.9038658,336.7816154,336.6440377,336.5390005,336.3247656
0.00225,0.96763148,338.3528596,338.1686556,338.0161115,337.9048229,337.7173521,337.5737076,337.3517638,337.1972764,337.042364,336.9019864,336.7796286,336.6423887,336.5370925,336.3229471
