% Model,sim20_Out_t.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,
% Date,"Mar 7 2022, 15:22",,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,
% Nodes,10649,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,
% Description,Temperature,,,,,,,,,,,,,,
% Length unit,m,1.7655,1.7718,1.778,1.7843,1.7905,1.7968,1.8031,1.8093,1.8156,1.8219,1.8281,1.8344,1.8406,1.8469
% r,z,T (K) @ thermalCo=1.7655,T (K) @ thermalCo=1.7718,T (K) @ thermalCo=1.778,T (K) @ thermalCo=1.7843,T (K) @ thermalCo=1.7905,T (K) @ thermalCo=1.7968,T (K) @ thermalCo=1.8031,T (K) @ thermalCo=1.8093,T (K) @ thermalCo=1.8156,T (K) @ thermalCo=1.8219,T (K) @ thermalCo=1.8281,T (K) @ thermalCo=1.8344,T (K) @ thermalCo=1.8406,T (K) @ thermalCo=1.8469
0,0,1.7655,1.7718,1.778,1.7843,1.7905,1.7968,1.8031,1.8093,1.8156,1.8219,1.8281,1.8344,1.8406,1.8469
0.00225,0.969908903,322.78023,322.7415099,322.7046324,322.6730741,322.6360719,322.6009693,322.5697504,322.5344387,322.4986823,322.4636858,322.4299703,322.3992092,322.3640524,322.3309311
0.00225,0.97,322.7440876,322.7055478,322.6688487,322.6374677,322.6006413,322.5657131,322.5346672,322.4995272,322.4639414,322.4291132,322.3955655,322.3649707,322.3299788,322.2970211
0.00225,0.969817806,322.7713557,322.7327068,322.6959006,322.6644119,322.627479,322.592445,322.5612939,322.5260494,322.4903593,322.4554297,322.4217791,322.3910827,322.3559898,322.3229323
0.00225,0.969726709,322.761182,322.7225607,322.6857826,322.6543212,322.6174155,322.5824088,322.5512848,322.5160673,322.4804036,322.4455019,322.4118777,322.3812078,322.3461414,322.3131105
0.00225,0.969635612,322.760411,322.7217776,322.684988,322.6535145,322.616597,322.5815786,322.550443,322.5152141,322.4795385,322.4446266,322.4109909,322.3803099,322.3452325,322.312191
0.00225,0.969544515,322.7583634,322.7197335,322.6829483,322.6514781,322.6145641,322.5795493,322.5484171,322.5131915,322.4775189,322.4426113,322.4089786,322.3783008,322.3432266,322.3101885
0.00225,0.969453418,322.7568269,322.7181968,322.681412,322.6499415,322.6130274,322.5780124,322.5468801,322.5116544,322.4759813,322.4410746,322.4074415,322.3767635,322.3416892,322.3086512
0.00225,0.969362322,322.7550537,322.7164251,322.6796425,322.6481733,322.6112607,322.5762472,322.5451164,322.5098921,322.4742199,322.4393158,322.4056838,322.3750072,322.3399342,322.3068979
0.00225,0.969271225,322.7535141,322.7148854,322.6781033,322.6466338,322.6097211,322.5747077,322.5435768,322.5083524,322.4726797,322.4377766,322.4041442,322.3734675,322.3383944,322.3053583
0.00225,0.969180128,322.7519623,322.7133334,322.6765519,322.6450822,322.6081694,322.573156,322.542025,322.5068006,322.4711275,322.4362253,322.4025925,322.3719158,322.3368427,322.3038068
0.00225,0.969089031,322.7504582,322.7118292,322.6750482,322.6435782,322.6066653,322.5716517,322.5405206,322.5052961,322.4696224,322.4347212,322.4010879,322.370411,322.3353378,322.302302
0.00225,0.968997934,322.7489031,322.7102744,322.6734945,322.6420247,322.6051122,322.5700991,322.5389684,322.5037443,322.4680705,322.4331707,322.3995375,322.368861,322.3337881,322.300753
0.00225,0.968906837,322.7472586,322.708631,322.6718529,322.640384,322.6034727,322.5684607,322.5373311,322.502108,322.4664348,322.4315372,322.3979047,322.3672292,322.3321573,322.2991234
0.00225,0.96881574,322.7454674,322.7068415,322.6700656,322.6385981,322.6016884,322.566678,322.53555,322.5003285,322.4646566,322.4297615,322.3961302,322.3654562,322.3303858,322.2973537
0.00225,0.968724643,322.7439431,322.7053167,322.668541,322.637073,322.6001629,322.5651522,322.5340239,322.4988021,322.4631295,322.4282349,322.3946031,322.3639287,322.328858,322.2958259
0.00225,0.968633546,322.7425547,322.7039273,322.6671512,322.6356822,322.5987711,322.5637596,322.5326304,322.4974076,322.4617337,322.4268393,322.3932063,322.362531,322.3274595,322.2944267
0.00225,0.968542449,322.7411804,322.7025527,322.665777,322.6343075,322.5973962,322.5623845,322.531255,322.4960321,322.4603575,322.4254638,322.3918302,322.3611547,322.3260829,322.2930501
0.00225,0.968451352,322.7393555,322.7007295,322.6639562,322.6324883,322.5955787,322.5605688,322.529441,322.4942197,322.4585464,322.4236554,322.3900232,322.3593493,322.3242791,322.2912482
0.00225,0.968360255,322.7375215,322.6988963,322.6621246,322.6306574,322.5937487,322.5587397,322.5276128,322.4923924,322.4567196,322.4218305,322.3881988,322.3575257,322.3224564,322.2894266
0.00225,0.968269159,322.7357879,322.6971637,322.6603937,322.6289273,322.5920195,322.5570115,322.5258856,322.4906662,322.4549938,322.4201067,322.3864757,322.3558035,322.3207351,322.2877065
0.00225,0.968178062,322.7340601,322.695437,322.6586687,322.6272033,322.5902967,322.5552899,322.5241651,322.4889468,322.4532752,322.4183902,322.38476,322.3540889,322.3190215,322.2859943
0.00225,0.968086965,322.732386,322.6937633,322.6569961,322.6255309,322.5886247,322.5536183,322.522494,322.4872761,322.4516045,322.416721,322.3830908,322.3524201,322.3173531,322.2843266
0.00225,0.967995868,322.7306738,322.6920519,322.6552862,322.6238217,322.5869164,322.5519109,322.5207875,322.4855704,322.4498992,322.4150176,322.3813879,322.350718,322.3156519,322.2826264
