% Model,sim18_Out_t.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,
% Date,"Mar 7 2022, 15:21",,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,
% Nodes,10649,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,
% Description,Temperature,,,,,,,,,,,,,,
% Length unit,m,1.5902,1.5965,1.6027,1.609,1.6152,1.6215,1.6278,1.634,1.6403,1.6466,1.6528,1.6591,1.6653,1.6716
% r,z,T (K) @ thermalCo=1.5902,T (K) @ thermalCo=1.5965,T (K) @ thermalCo=1.6027,T (K) @ thermalCo=1.609,T (K) @ thermalCo=1.6152,T (K) @ thermalCo=1.6215,T (K) @ thermalCo=1.6278,T (K) @ thermalCo=1.634,T (K) @ thermalCo=1.6403,T (K) @ thermalCo=1.6466,T (K) @ thermalCo=1.6528,T (K) @ thermalCo=1.6591,T (K) @ thermalCo=1.6653,T (K) @ thermalCo=1.6716
0,0,1.5902,1.5965,1.6027,1.609,1.6152,1.6215,1.6278,1.634,1.6403,1.6466,1.6528,1.6591,1.6653,1.6716
0.00225,0.969908903,323.8536774,323.8141782,323.7725324,323.728967,323.6920961,323.6496486,323.6093715,323.5717643,323.5279251,323.4875486,323.449397,323.4122243,323.372747,323.3323019
0.00225,0.97,323.8118244,323.7725544,323.7311349,323.687794,323.6511463,323.6089194,323.5688608,323.531471,323.4878464,323.4476838,323.409743,323.3727798,323.33351,323.2932709
0.00225,0.969817806,323.8424695,323.8030656,323.7615158,323.7180447,323.6812658,323.6389106,323.598725,323.5612066,323.5174573,323.4771676,323.4391037,323.4020174,323.3626255,323.3222645
0.00225,0.969726709,323.8314698,323.7920966,323.7505788,323.7071391,323.6703903,323.6280663,323.5879119,323.5504229,323.5067049,323.4664441,323.4284111,323.3913549,323.3519931,323.3116616
0.00225,0.969635612,323.8310785,323.7916896,323.7501578,323.7067037,323.6699394,323.6276013,323.587433,323.5499287,323.5061972,323.4659211,323.4278748,323.3908049,323.3514296,323.3110843
0.00225,0.969544515,323.8288969,323.7895134,323.7479883,323.7045404,323.667781,323.6254488,323.5852866,323.5477866,323.5040614,323.4637892,323.4257488,323.388684,323.349314,323.3089734
0.00225,0.969453418,323.827356,323.7879723,323.7464487,323.7030015,323.6662416,323.6239102,323.583749,323.5462482,323.5025242,323.462251,323.4242116,323.3871472,323.3477778,323.3074371
0.00225,0.969362322,323.8255227,323.7861411,323.7446211,323.701177,323.664419,323.6220905,323.5819324,323.5444331,323.5007123,323.4604403,323.422404,323.385342,323.3459751,323.3056364
0.00225,0.969271225,323.8239763,323.7845947,323.7430762,323.699633,323.6628746,323.620547,323.5803899,323.5428899,323.4991704,323.4588975,323.4208623,323.3838007,323.3444345,323.3040959
0.00225,0.969180128,323.8224162,323.7830346,323.7415176,323.6980753,323.6613167,323.61899,323.578834,323.5413335,323.4976153,323.4573416,323.4193075,323.3822465,323.3428809,323.3025424
0.00225,0.969089031,323.8209048,323.7815231,323.7400077,323.6965664,323.6598076,323.6174818,323.5773269,323.5398258,323.4961089,323.4558344,323.4178015,323.3807409,323.3413759,323.3010375
0.00225,0.968997934,323.8193239,323.7799431,323.7384299,323.6949905,323.658232,323.615908,323.5757549,323.538254,323.4945391,323.4542644,323.4162333,323.3791739,323.3398103,323.2994726
0.00225,0.968906837,323.8176302,323.778251,323.7367412,323.6933044,323.6565474,323.6142259,323.5740756,323.5365757,323.4928638,323.4525897,323.4145614,323.377504,323.3381426,323.2978065
0.00225,0.96881574,323.8157776,323.7764006,323.7348943,323.6914605,323.6547053,323.6123868,323.5722395,323.5347411,323.4910324,323.4507597,323.4127343,323.3756794,323.3363205,323.2959866
0.00225,0.968724643,323.8142587,323.7748812,323.7333755,323.689942,323.6531862,323.6108678,323.5707209,323.5332217,323.4895135,323.4492397,323.4112148,323.3741598,323.334801,323.2944667
0.00225,0.968633546,323.8128898,323.7735112,323.732006,323.6885723,323.6518152,323.6094967,323.5693498,323.5318491,323.4881411,323.4478655,323.4098407,323.3727851,323.333426,323.2930909
0.00225,0.968542449,323.8115097,323.7721311,323.7306274,323.6871947,323.6504374,323.6081198,323.5679739,323.5304726,323.4867659,323.4464895,323.4084657,323.3714106,323.3320521,323.291717
0.00225,0.968451352,323.8096189,323.7702426,323.7287427,323.6853133,323.6485579,323.6062435,323.5661009,323.5286013,323.484898,323.444623,323.4066024,323.36955,323.3301942,323.2898613
0.00225,0.968360255,323.8077464,323.7683712,323.7268741,323.6834468,323.6466924,323.60438,323.5642397,323.5267406,323.4830398,323.4427651,323.4047468,323.367696,323.328342,323.2880103
0.00225,0.968269159,323.8059698,323.7665961,323.7251019,323.681677,323.6449237,323.6026136,323.5624758,323.5249775,323.4812794,323.4410051,323.4029893,323.3659402,323.3265882,323.2862579
0.00225,0.968178062,323.8041949,323.7648227,323.7233316,323.6799092,323.6431571,323.6008495,323.5607142,323.5232169,323.4795215,323.4392479,323.4012347,323.3641875,323.3248376,323.2845088
0.00225,0.968086965,323.8024988,323.7631271,323.721638,323.6782171,323.6414653,323.5991591,323.5590254,323.5215281,323.4778345,323.4375606,323.399549,323.3625028,323.3231541,323.282826
0.00225,0.967995868,323.8007476,323.7613773,323.7198908,323.6764722,323.6397214,323.5974173,323.5572858,323.5197893,323.476098,323.4358246,323.3978152,323.3607706,323.3214237,323.2810968
0.00225,0.967904771,323.7988993,323.7595305,323.7180471,323.6746309,323.6378815,323.5955798,323.555451,323.5179555,323.474267,323.4339943,323.3959875,323.3589449,323.3196001,323.2792749
0.00225,0.967813674,323.7971083,323.7577404,323.7162594,323.6728451,323.6360963,323.5937964,323.5536694,323.5161743,323.4724879,323.4322153,323.3942105,323.3571692,323.317826,323.2775017
0.00225,0.967722577,323.7953728,323.7560056,323.7145267,323.6711141,323.6343658,323.5920674,323.5519422,323.5144473,323.4707629,323.4304902,323.3924872,323.355447,323.3161051,323.2757816
0.00225,0.96763148,323.79371,323.7543431,323.7128661,323.6694547,323.6327066,323.5904095,323.5502857,323.5127907,323.4691078,323.4288348,323.3908332,323.3537939,323.314453,323.27413
0.00225,0.967540383,323.7920855,323.7527189,323.7112436,323.6678335,323.6310854,323.5887894,323.5486669,323.5111717,323.4674903,323.4272168,323.3892165,323.3521779,323.312838,323.2725154
0.00225,0.967449286,323.7905914,323.7512246,323.7097504,323.666341,323.6295925,323.5872972,323.5471755,323.5096796,323.4659993,323.4257248,323.3877255,323.3506871,323.3113476,323.271025
0.00225,0.967358189,323.7892808,323.7499131,323.7084397,323.6650304,323.6282809,323.5859857,323.5458643,323.508367,323.4646872,323.4244112,323.3864122,323.3493736,323.3100341,323.2697109
0.00225,0.967267092,323.7877038,323.7483365,323.7068651,323.6634573,323.626708,323.5844141,323.5442942,323.5067969,323.4631188,323.4228424,323.384845,323.3478074,323.3084689,323.2681463
0.00225,0.967175995,323.7859678,323.7466013,323.7051322,323.6617261,323.6249774,323.5826851,323.5425671,323.50507,323.4613941,323.4211176,323.3831221,323.3460857,323.3067487,323.2664269
0.00225,0.967084899,323.7843204,323.7449539,323.7034863,323.6600813,323.6233323,323.5810411,323.5409242,323.5034266,323.459752,323.4194747,323.3814805,323.3444446,323.3051083,323.2647867
0.00225,0.966993802,323.7827291,323.743363,323.7018975,323.658494,323.6217452,323.5794554,323.5393401,323.5018424,323.4581696,323.4178919,323.3798993,323.3428643,323.3035292,323.2632082
0.00225,0.966902705,323.7809411,323.7415766,323.7001142,323.6567132,323.6199658,323.5776784,323.5375658,323.5000692,323.4563992,323.4161223,323.3781323,323.3410993,323.3017664,323.261447
0.00225,0.966811608,323.7790697,323.7397058,323.6982454,323.6548459,323.618099,323.5758131,323.535702,323.4982057,323.4545376,323.4142607,323.3762723,323.3392405,323.2999089,323.2595903
0.00225,0.966720511,323.7774421,323.7380773,323.6966173,323.6532179,323.6164699,323.574184,323.5340731,323.4965755,323.4529078,323.4126293,323.3746412,323.337609,323.2982773,323.257958
0.00225,0.966629414,323.7756421,323.736278,323.6948201,323.6514222,323.6146746,323.5723901,323.5322809,323.4947834,323.4511175,323.4108389,323.3728525,323.3358213,323.2964908,323.2561723
0.00225,0.966538317,323.7739142,323.7345502,323.6930939,323.6496971,323.6129495,323.5706661,323.5305581,323.4930604,323.4493959,323.4091168,323.3711316,323.334101,323.2947714,323.2544532
0.00225,0.96644722,323.7723126,323.7329488,323.6914941,323.6480984,323.6113507,323.5690683,323.5289615,323.4914635,323.4478004,323.4075207,323.3695367,323.3325067,323.293178,323.25286
0.00225,0.966356123,323.7705762,323.7312132,323.6897607,323.6463667,323.6096197,323.5673389,323.5272338,323.4897362,323.4460751,323.4057953,323.3678132,323.3307844,323.2914571,323.2511399
0.00225,0.966265026,323.7689865,323.7296234,323.6881724,323.6447793,323.608032,323.565752,323.525648,323.4881498,323.44449,323.4042094,323.3662283,323.3291999,323.2898733,323.2495562
0.00225,0.966173929,323.7674314,323.7280682,323.6866187,323.6432266,323.606479,323.5642,323.5240971,323.4865984,323.4429399,323.4026585,323.3646786,323.3276506,323.2883247,323.2480077
0.00225,0.966082832,323.7658032,323.7264405,323.684993,323.6416023,323.604855,323.5625773,323.5224759,323.4849772,323.4413205,323.4010387,323.3630604,323.3260333,323.2867086,323.2463921
0.00225,0.965991736,323.7639359,323.7245745,323.6831299,323.6397416,323.6029954,323.5607199,323.520621,323.4831231,323.439469,323.3991878,323.3612119,323.3241865,323.2848638,323.2445488
0.00225,0.965900639,323.7622352,323.722874,323.6814312,323.6380441,323.601298,323.5590237,323.5189261,323.4814282,323.4377757,323.3974939,323.3595194,323.3224948,323.2831731,323.2428585
0.00225,0.965809542,323.760521,323.7211601,323.6797191,323.6363333,323.5995873,323.5573142,323.517218,323.47972,323.436069,323.3957869,323.3578137,323.3207899,323.2814693,323.2411551
0.00225,0.965718445,323.7589113,323.7195501,323.6781101,323.6347249,323.5979784,323.5557058,323.5156103,323.4781116,323.4344615,323.3941784,323.356206,323.3191823,323.279862,323.2395477
0.00225,0.965627348,323.7574388,323.718077,323.676638,323.6332532,323.596506,323.5542338,323.5141388,323.4766392,323.4329899,323.3927055,323.3547337,323.3177099,323.2783899,323.2380752
0.00225,0.965536251,323.7557446,323.7163837,323.674947,323.631564,323.5948174,323.5525469,323.5124539,323.4749547,323.4313075,323.3910232,323.3530533,323.3160307,323.2767123,323.2363985
0.00225,0.965445154,323.7540327,323.7146719,323.6732369,323.629855,323.5931083,323.5508388,323.510747,323.4732476,323.4296018,323.3893169,323.3513483,323.3143263,323.2750088,323.2346953
0.00225,0.965354057,323.7524745,323.7131131,323.6716791,323.6282977,323.5915503,323.5492813,323.5091901,323.4716897,323.4280448,323.3877586,323.3497907,323.3127687,323.2734514,323.2331376
0.00225,0.96526296,323.7510029,323.7116413,323.6702087,323.6268281,323.5900803,323.5478119,323.5077217,323.4702206,323.4265769,323.3862896,323.3483227,323.311301,323.2719843,323.2316704
0.00225,0.965171863,323.7493721,323.7100113,323.668581,323.6252022,323.5884549,323.5461882,323.5060999,323.4685991,323.4249575,323.3846701,323.3467051,323.3096845,323.2703693,323.2300563
0.00225,0.965080766,323.7475374,323.7081776,323.6667501,323.6233734,323.5866271,323.5443625,323.5042764,323.4667763,323.4231372,323.3828502,323.3448874,323.3078684,323.2685551,323.2282433
0.00225,0.964989669,323.7459517,323.7065915,323.665165,323.6217888,323.5850419,323.5427778,323.5026923,323.4651914,323.4215532,323.381265,323.343303,323.3062841,323.2669711,323.2266592
0.00225,0.964898573,323.7443458,323.7049855,323.6635605,323.6201853,323.5834381,323.5411748,323.5010903,323.463589,323.419952,323.3796631,323.3417022,323.3046836,323.2653714,323.2250595
0.00225,0.964807476,323.742683,323.7033228,323.6618994,323.6185252,323.5817779,323.5395156,323.4994323,323.4619307,323.4182951,323.3780054,323.3400457,323.3030277,323.2637163,323.2234047
0.00225,0.964716379,323.7412417,323.7018808,323.6604584,323.6170847,323.5803366,323.5380746,323.4979919,323.4604893,323.4168545,323.3765634,323.3386044,323.3015863,323.2622751,323.2219632
0.00225,0.964625282,323.7395354,323.7001753,323.6587553,323.6153834,323.5786359,323.5363756,323.4962948,323.4587925,323.4151599,323.3748688,323.3369117,323.2998948,323.2605852,323.2202741
0.00225,0.964534185,323.7379054,323.6985455,323.6571274,323.6137568,323.5770094,323.5347504,323.494671,323.4571686,323.4135376,323.373246,323.3352904,323.2982742,323.2589657,323.2186551
0.00225,0.964443088,323.7363628,323.6970031,323.6555867,323.6122172,323.5754698,323.5332119,323.4931337,323.4556312,323.4120016,323.3717095,323.3337552,323.2967396,323.257432,323.2171217
0.00225,0.964351991,323.7348781,323.695518,323.6541027,323.6107339,323.5739859,323.5317284,323.491651,323.4541476,323.4105191,323.3702258,323.3322722,323.2952568,323.2559496,323.2156391
0.00225,0.964260894,323.7334328,323.694072,323.6526576,323.6092891,323.5725403,323.5302831,323.4902062,323.4527018,323.409074,323.3687793,323.3308263,323.2938107,323.2545037,323.2141929
0.00225,0.964169797,323.7317594,323.6923991,323.6509868,323.6076199,323.5708713,323.5286156,323.4885403,323.451036,323.40741,323.367115,323.3291637,323.292149,323.2528433,323.2125331
0.00225,0.9640787,323.7299476,323.6905882,323.6491785,323.6058135,323.5690656,323.5268118,323.4867385,323.4492347,323.405611,323.3653161,323.3273669,323.2903536,323.2510495,323.2107404
0.00225,0.963987603,323.7283804,323.6890201,323.6476113,323.6042467,323.567498,323.5252444,323.4851716,323.4476667,323.4040438,323.3637475,323.3257988,323.2887854,323.2494815,323.209172
0.00225,0.963896506,323.7268405,323.6874802,323.6460729,323.6027093,323.5659603,323.5237076,323.4836359,323.4461305,323.402509,323.3622118,323.3242643,323.2872513,323.2479481,323.2076387
0.00225,0.963805409,323.7249252,323.6855664,323.6441623,323.6008013,323.5640536,323.5218034,323.4817344,323.44423,323.4006114,323.3603149,323.3223701,323.285359,323.2460581,323.2057504
0.00225,0.963714313,323.7232281,323.6838688,323.6424659,323.5991056,323.5623573,323.5201077,323.4800395,323.4425344,323.3989169,323.3586192,323.3206754,323.2836644,323.2443641,323.2040563
0.00225,0.963623216,323.7215415,323.6821818,323.6407801,323.5974205,323.5606717,323.5184227,323.4783553,323.4408495,323.3972331,323.3569343,323.3189914,323.2819806,323.2426807,323.2023728
0.00225,0.963532119,323.7200948,323.680734,323.6393331,323.5959735,323.5592235,323.5169745,323.4769073,323.4394,323.3957842,323.3554836,323.317541,323.2805297,323.2412298,323.2009211
0.00225,0.963441022,323.7184745,323.6791144,323.637716,323.5943584,323.5576089,323.5153617,323.4752964,323.4377894,323.3941759,323.3538751,323.3159345,323.2789244,323.2396261,323.1993183
0.00225,0.963349925,323.7166657,323.6773065,323.6359107,323.592555,323.5558063,323.513561,323.4734978,323.4359913,323.3923802,323.3520795,323.314141,323.2771323,323.2378357,323.1975291
0.00225,0.963258828,323.7150832,323.6757231,323.6343281,323.5909727,323.554223,323.5119779,323.4719151,323.4344074,323.390797,323.3504948,323.3125569,323.275548,323.2362515,323.1959443
0.00225,0.963167731,323.7135727,323.6742117,323.6328173,323.589462,323.5527112,323.5104662,323.4704036,323.4328946,323.3892848,323.3489809,323.3110433,323.274034,323.2347375,323.1944297
0.00225,0.963076634,323.711909,323.672548,323.6311556,323.5878017,323.5510508,323.508807,323.4687458,323.4312365,323.3876285,323.3473239,323.3093877,323.2723791,323.2330836,323.1927762
0.00225,0.962985537,323.7102334,323.6708722,323.6294814,323.5861284,323.5493773,323.5071343,323.4670743,323.4295644,323.3859579,323.3456524,323.3077175,323.2707093,323.2314146,323.1911074
0.00225,0.96289444,323.7087121,323.6693497,323.6279594,323.5846064,323.547854,323.5056109,323.465551,323.4280395,323.3844336,323.3441261,323.3061914,323.2691827,323.2298878,323.1895797
0.00225,0.962803343,323.7071153,323.6677524,323.6263635,323.5830112,323.5462582,323.5040157,323.4639566,323.4264443,323.3828396,323.3425308,323.304597,323.2675884,323.2282941,323.1879858
0.00225,0.962712246,323.7054206,323.6660581,323.6246713,323.5813206,323.5445678,323.5023268,323.4622693,323.4247569,323.3811542,323.3408449,323.3029129,323.2659052,323.2266121,323.1863044
0.00225,0.96262115,323.7037846,323.664422,323.6230369,323.5796873,323.5429342,323.5006941,323.4606378,323.4231249,323.3795238,323.3392135,323.3012828,323.2642755,323.2249832,323.1846757
0.00225,0.962530053,323.7021291,323.6627663,323.6213831,323.5780346,323.5412812,323.4990422,323.4589872,323.4214737,323.3778743,323.3375631,323.2996336,323.2626269,323.2233355,323.1830281
0.00225,0.962438956,323.7005998,323.6612365,323.6198546,323.5765068,323.5397528,323.4975144,323.4574602,323.4199458,323.3763476,323.336035,323.2981065,323.2610998,323.221809,323.1815013
0.00225,0.962347859,323.6989059,323.6595428,323.6181631,323.5748168,323.5380629,323.4958259,323.4557733,323.4182587,323.3746625,323.3343493,323.2964225,323.2594166,323.220127,323.1798199
0.00225,0.962256762,323.6972791,323.6579159,323.6165379,323.5731928,323.5364386,323.4942027,323.4541513,323.4166361,323.3730416,323.3327274,323.2948019,323.2577965,323.2185078,323.1782008
0.00225,0.962165665,323.6956061,323.6562427,323.6148664,323.5715224,323.5347679,323.492533,323.4524827,323.4149671,323.3713741,323.3310591,323.2931348,323.2561299,323.216842,323.1765352
0.00225,0.962074568,323.6939269,323.6545635,323.6131891,323.5698463,323.5330917,323.4908578,323.4508089,323.4132928,323.3697016,323.3293856,323.2914628,323.2544584,323.2151715,323.174865
0.00225,0.961983471,323.6922119,323.6528491,323.6114772,323.5681362,323.5313821,323.48915,323.449103,323.411587,323.3679982,323.3276819,323.2897611,323.2527578,323.2134724,323.1731668
0.00225,0.961892374,323.6902695,323.6509078,323.6095388,323.5662001,323.529447,323.487217,323.4471724,323.4096571,323.3660711,323.3257551,323.2878368,323.2508352,323.2115518,323.1712475
0.00225,0.961801277,323.688567,323.6492045,323.6078365,323.5644983,323.5277442,323.4855146,323.4454705,323.4079541,323.3643691,323.3240515,323.2861339,323.2491321,323.209849,323.1695444
0.00225,0.96171018,323.6870509,323.6476872,323.6063199,323.5629817,323.5262263,323.4839967,323.4439529,323.4064348,323.3628505,323.322531,323.2846136,323.2476114,323.2083282,323.1680227
0.00225,0.961619083,323.6855192,323.6461548,323.6047887,323.5614512,323.5246951,323.482466,323.4424228,323.4049038,323.3613206,323.3209997,323.2830832,323.246081,323.2067981,323.1664924
0.00225,0.961527986,323.6840435,323.6446776,323.6033118,323.559974,323.5232164,323.480987,323.4409436,323.4034228,323.35984,323.319517,323.2816005,323.2445975,323.2053143,323.1650076
0.00225,0.96143689,323.6831551,323.6437857,323.6024182,323.5590782,323.5223169,323.4800852,323.4400397,323.402515,323.3589306,323.3186033,323.2806849,323.2436792,323.2043937,323.164084
0.00225,0.961345793,323.6816663,323.6422975,323.6009328,323.5575948,323.520834,323.4786042,323.4385608,323.4010363,323.3574544,323.3171268,323.2792105,323.242206,323.2029221,323.1626133
0.00225,0.961254696,323.6799288,323.6405604,323.5991978,323.5558613,323.5191007,323.4768723,323.4368305,323.3993059,323.355726,323.3153979,323.2774834,323.2404798,323.2011971,323.160889
0.00225,0.961163599,323.6785047,323.6391349,323.5977729,323.5544364,323.5176744,323.4754459,323.4354042,323.3978779,323.3542986,323.3139684,323.2760541,323.2390498,323.199767,323.1594579
0.00225,0.961072502,323.6768612,323.6374918,323.5961322,323.5527974,323.5160357,323.4738088,323.4337689,323.3962425,323.3526655,323.3123347,323.2744223,323.237419,323.1981376,323.1578292
0.00225,0.960981405,323.6752347,323.6358653,323.5945077,323.5511742,323.5144123,323.4721866,323.4321481,323.3946214,323.3510462,323.3107146,323.2728036,323.2358009,323.1965205,323.1562124
