% Model,sim34_Out_t.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,
% Date,"Mar 7 2022, 15:31",,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,
% Nodes,10649,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,
% Description,Temperature,,,,,,,,,,,,,,
% Length unit,m,2.9927,2.999,3.0052,3.0115,3.0177,3.024,3.0303,3.0365,3.0428,3.0491,3.0553,3.0616,3.0678,3.0741
% r,z,T (K) @ thermalCo=2.9927,T (K) @ thermalCo=2.999,T (K) @ thermalCo=3.0052,T (K) @ thermalCo=3.0115,T (K) @ thermalCo=3.0177,T (K) @ thermalCo=3.024,T (K) @ thermalCo=3.0303,T (K) @ thermalCo=3.0365,T (K) @ thermalCo=3.0428,T (K) @ thermalCo=3.0491,T (K) @ thermalCo=3.0553,T (K) @ thermalCo=3.0616,T (K) @ thermalCo=3.0678,T (K) @ thermalCo=3.0741
0,0,2.9927,2.999,3.0052,3.0115,3.0177,3.024,3.0303,3.0365,3.0428,3.0491,3.0553,3.0616,3.0678,3.0741
0.00225,0.969908903,318.3016872,318.2885614,318.2741041,318.2604957,318.2479349,318.2348095,318.2190819,318.2084019,318.1929389,318.1794743,318.1665448,318.1524417,318.1390527,318.1261571
0.00225,0.97,318.2849381,318.2718652,318.2574605,318.2439044,318.2313957,318.2183221,318.202646,318.1920174,318.1766054,318.1631917,318.1503128,318.13626,318.122921,318.1100753
0.00225,0.969817806,318.2994751,318.2863635,318.2719202,318.2583257,318.2457787,318.232667,318.216953,318.2062866,318.1908369,318.1773857,318.1644695,318.1503795,318.1370035,318.1241208
0.00225,0.969726709,318.2931031,318.2800045,318.2655741,318.2519926,318.2394585,318.2263595,318.2106583,318.2000046,318.1845677,318.1711291,318.1582254,318.144148,318.1307845,318.1179143
0.00225,0.969635612,318.2911881,318.2780872,318.2636545,318.2500707,318.2375343,318.2244331,318.2087297,318.1980738,318.1826346,318.1691938,318.156288,318.1422085,318.1288428,318.1159705
0.00225,0.969544515,318.2894218,318.2763212,318.2618888,318.2483052,318.2357692,318.2226683,318.2069652,318.1963095,318.1808707,318.1674302,318.1545247,318.1404454,318.12708,318.114208
0.00225,0.969453418,318.2878799,318.2747792,318.2603468,318.2467631,318.234227,318.221126,318.2054228,318.1947671,318.1793281,318.1658876,318.152982,318.1389026,318.1255371,318.112665
0.00225,0.969362322,318.2862561,318.2731557,318.2587235,318.2451401,318.2326043,318.2195036,318.2038006,318.1931452,318.1777064,318.1642661,318.1513608,318.1372817,318.1239165,318.1110446
0.00225,0.969271225,318.2847189,318.2716184,318.2571862,318.2436028,318.2310668,318.2179661,318.2022631,318.1916076,318.1761689,318.1627285,318.1498231,318.1357439,318.1223787,318.1095068
0.00225,0.969180128,318.2831718,318.2700713,318.255639,318.2420556,318.2295196,318.2164189,318.2007159,318.1900604,318.1746216,318.1611812,318.1482758,318.1341966,318.1208314,318.1079594
0.00225,0.969089031,318.2816484,318.2685478,318.2541155,318.2405319,318.2279958,318.214895,318.1991918,318.1885362,318.1730973,318.1596568,318.1467513,318.132672,318.1193066,318.1064345
0.00225,0.968997934,318.2801201,318.2670194,318.252587,318.2390034,318.2264673,318.2133663,318.1976631,318.1870074,318.1715685,318.1581279,318.1452223,318.131143,318.1177775,318.1049054
0.00225,0.968906837,318.2785701,318.2654695,318.2510372,318.2374536,318.2249176,318.2118167,318.1961136,318.185458,318.1700191,318.1565786,318.1436731,318.1295938,318.1162284,318.1033563
0.00225,0.96881574,318.2769538,318.2638536,318.2494216,318.2358384,318.2233027,318.2102022,318.1944994,318.1838441,318.1684056,318.1549654,318.1420602,318.1279812,318.1146162,318.1017444
0.00225,0.968724643,318.2754152,318.2623149,318.2478829,318.2342997,318.221764,318.2086634,318.1929606,318.1823053,318.1668667,318.1534265,318.1405213,318.1264423,318.1130772,318.1002055
0.00225,0.968633546,318.2739274,318.2608268,318.2463945,318.232811,318.2202749,318.2071741,318.1914709,318.1808153,318.1653765,318.151936,318.1390305,318.1249512,318.1115858,318.0987138
0.00225,0.968542449,318.2724937,318.2593927,318.2449601,318.2313762,318.2188398,318.2057386,318.1900352,318.1793792,318.16394,318.1504992,318.1375934,318.1235137,318.110148,318.0972756
0.00225,0.968451352,318.2708558,318.2577553,318.243323,318.2297395,318.2172035,318.2041027,318.1883996,318.177744,318.1623052,318.1488647,318.1359592,318.12188,318.1085146,318.0956426
0.00225,0.968360255,318.2691397,318.2560395,318.2416076,318.2280244,318.2154887,318.2023882,318.1866855,318.1760302,318.1605917,318.1471515,318.1342464,318.1201674,318.1068024,318.0939306
0.00225,0.968269159,318.2675055,318.2544055,318.2399737,318.2263907,318.2138552,318.2007548,318.1850522,318.1743971,318.1589588,318.1455188,318.1326137,318.1185349,318.10517,318.0922985
