% Model,sim33_Out_t.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,
% Date,"Mar 7 2022, 15:30",,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,
% Nodes,10649,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,
% Description,Temperature,,,,,,,,,,,,,,
% Length unit,m,2.905,2.9113,2.9175,2.9238,2.93,2.9363,2.9426,2.9488,2.9551,2.9614,2.9676,2.9739,2.9801,2.9864
% r,z,T (K) @ thermalCo=2.905,T (K) @ thermalCo=2.9113,T (K) @ thermalCo=2.9175,T (K) @ thermalCo=2.9238,T (K) @ thermalCo=2.93,T (K) @ thermalCo=2.9363,T (K) @ thermalCo=2.9426,T (K) @ thermalCo=2.9488,T (K) @ thermalCo=2.9551,T (K) @ thermalCo=2.9614,T (K) @ thermalCo=2.9676,T (K) @ thermalCo=2.9739,T (K) @ thermalCo=2.9801,T (K) @ thermalCo=2.9864
0,0,2.905,2.9113,2.9175,2.9238,2.93,2.9363,2.9426,2.9488,2.9551,2.9614,2.9676,2.9739,2.9801,2.9864
0.00225,0.969908903,318.5082459,318.4894252,318.4777538,318.461386,318.4465236,318.4315867,318.4194945,318.4025887,318.3903158,318.3754243,318.3591842,318.3480591,318.3299506,318.3189418
0.00225,0.97,318.4907284,318.4719643,318.4603493,318.4440376,318.429231,318.4143497,318.4023128,318.3854619,318.3732438,318.3584067,318.3422208,318.3311496,318.3130948,318.3021393
0.00225,0.969817806,318.5058253,318.4870201,318.4753642,318.4590118,318.4441647,318.4292429,318.4171658,318.4002749,318.3880169,318.3731401,318.3569146,318.3458041,318.32771,318.3167155
0.00225,0.969726709,318.499266,318.4804746,318.4688323,318.4524934,318.4376599,318.4227516,318.4106879,318.3938104,318.3815657,318.3667023,318.35049,318.3393926,318.3213117,318.3103303
0.00225,0.969635612,318.4973858,318.4785917,318.4669469,318.4506054,318.4357693,318.4208585,318.4087923,318.3919123,318.3796652,318.3647993,318.3485846,318.3374848,318.3194015,318.3084177
0.00225,0.969544515,318.4956145,318.4768208,318.4651763,318.4488352,318.4339995,318.4190891,318.4070232,318.3901436,318.3778968,318.3630312,318.3468169,318.3357174,318.3176345,318.306651
0.00225,0.969453418,318.4940737,318.47528,318.4636354,318.4472943,318.4324584,318.4175479,318.405482,318.3886023,318.3763554,318.3614898,318.3452753,318.3341758,318.3160928,318.3051093
0.00225,0.969362322,318.4924459,318.4736525,318.4620082,318.4456674,318.4308318,318.4159216,318.403856,318.3869766,318.3747299,318.3598646,318.3436505,318.3325512,318.3144684,318.3034852
0.00225,0.969271225,318.4909093,318.4721158,318.4604715,318.4441306,318.429295,318.4143848,318.4023191,318.3854396,318.373193,318.3583276,318.3421134,318.3310141,318.3129313,318.301948
0.00225,0.969180128,318.4893624,318.4705688,318.4589245,318.4425837,318.4277481,318.4128378,318.4007721,318.3838926,318.3716459,318.3567805,318.3405663,318.329467,318.3113842,318.3004009
0.00225,0.969089031,318.4878408,318.4690472,318.4574027,318.4410617,318.426226,318.4113156,318.3992498,318.3823702,318.3701234,318.3552578,318.3390435,318.3279441,318.3098611,318.2988777
0.00225,0.968997934,318.4863132,318.4675195,318.455875,318.4395339,318.4246982,318.4097877,318.3977219,318.3808422,318.3685953,318.3537298,318.3375154,318.3264159,318.3083329,318.2973494
0.00225,0.968906837,318.4847619,318.4659683,318.454324,318.437983,318.4231473,318.408237,318.3961712,318.3792916,318.3670449,318.3521794,318.3359651,318.3248657,318.3067827,318.2957994
0.00225,0.96881574,318.4831404,318.4643472,318.4527032,318.4363626,318.4215273,318.4066174,318.394552,318.3776728,318.3654264,318.3505613,318.3343473,318.3232483,318.3051657,318.2941827
0.00225,0.968724643,318.4816021,318.4628089,318.4511649,318.4348243,318.419989,318.405079,318.3930136,318.3761343,318.3638879,318.3490228,318.3328088,318.3217098,318.3036272,318.2926441
0.00225,0.968633546,318.4801187,318.4613252,318.4496808,318.4333399,318.4185043,318.403594,318.3915282,318.3746487,318.3624019,318.3475365,318.3313222,318.3202229,318.3021399,318.2911566
0.00225,0.968542449,318.4786899,318.459896,318.4482513,318.43191,318.417074,318.4021634,318.3900973,318.3732174,318.3609703,318.3461045,318.3298899,318.3187902,318.3007069,318.2897232
0.00225,0.968451352,318.4770463,318.4582528,318.4466085,318.4302677,318.4154321,318.4005219,318.3884562,318.3715767,318.3593301,318.3444647,318.3282504,318.3171511,318.2990683,318.288085
0.00225,0.968360255,318.4753256,318.4565324,318.4448885,318.428548,318.4137128,318.3988029,318.3867375,318.3698584,318.3576121,318.342747,318.3265331,318.3154341,318.2973516,318.2863686
