% Model,sim28_Out_t.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,
% Date,"Mar 7 2022, 15:27",,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,
% Nodes,10649,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,
% Description,Temperature,,,,,,,,,,,,,,
% Length unit,m,2.4667,2.473,2.4792,2.4855,2.4917,2.498,2.5043,2.5105,2.5168,2.5231,2.5293,2.5356,2.5418,2.5481
% r,z,T (K) @ thermalCo=2.4667,T (K) @ thermalCo=2.473,T (K) @ thermalCo=2.4792,T (K) @ thermalCo=2.4855,T (K) @ thermalCo=2.4917,T (K) @ thermalCo=2.498,T (K) @ thermalCo=2.5043,T (K) @ thermalCo=2.5105,T (K) @ thermalCo=2.5168,T (K) @ thermalCo=2.5231,T (K) @ thermalCo=2.5293,T (K) @ thermalCo=2.5356,T (K) @ thermalCo=2.5418,T (K) @ thermalCo=2.5481
0,0,2.4667,2.473,2.4792,2.4855,2.4917,2.498,2.5043,2.5105,2.5168,2.5231,2.5293,2.5356,2.5418,2.5481
0.00225,0.969908903,319.7259427,319.7059792,319.683434,319.6632789,319.6440849,319.6276787,319.6055691,319.5858941,319.5655956,319.5493347,319.5251484,319.5072922,319.4868323,319.4695292
0.00225,0.97,319.7036028,319.6837224,319.6612598,319.6411868,319.6220744,319.6057494,319.5837205,319.5641257,319.5439069,319.5277253,319.5036178,319.48584,319.465458,319.4482324
0.00225,0.969817806,319.7220803,319.7021433,319.6796245,319.6594955,319.6403275,319.623947,319.601863,319.5822132,319.5619399,319.5457039,319.5215424,319.5037107,319.4832752,319.4659962
0.00225,0.969726709,319.714424,319.6945049,319.6720038,319.6518925,319.6327421,319.6163792,319.5943126,319.5746803,319.5544243,319.5382056,319.5140613,319.4962468,319.4758283,319.4585664
0.00225,0.969635612,319.7127916,319.6928678,319.6703622,319.6502464,319.6310914,319.614724,319.592653,319.5730163,319.552756,319.5365329,319.5123843,319.4945655,319.4741429,319.4568767
0.00225,0.969544515,319.7109759,319.691053,319.6685483,319.6484334,319.6292794,319.6129129,319.5908428,319.571207,319.5509475,319.5347253,319.5105776,319.4927596,319.4723378,319.4550725
0.00225,0.969453418,319.7094394,319.6895165,319.6670118,319.6468968,319.6277428,319.6113762,319.5893061,319.5696703,319.5494107,319.5331885,319.5090407,319.4912227,319.4708008,319.4535354
0.00225,0.969362322,319.7077818,319.6878595,319.6653553,319.645241,319.6260875,319.6097215,319.5876519,319.5680166,319.5477576,319.5315359,319.5073886,319.4895711,319.4691498,319.4518849
0.00225,0.969271225,319.7062469,319.6863246,319.6638204,319.6437061,319.6245526,319.6081866,319.586117,319.5664817,319.5462227,319.530001,319.5058536,319.4880362,319.4676148,319.4503499
0.00225,0.969180128,319.7047004,319.6847781,319.6622739,319.6421596,319.623006,319.6066401,319.5845705,319.5649352,319.5446762,319.5284545,319.5043072,319.4864897,319.4660683,319.4488034
0.00225,0.969089031,319.703188,319.6832656,319.6607613,319.6406468,319.6214932,319.6051271,319.5830573,319.5634219,319.5431628,319.5269409,319.5027935,319.4849759,319.4645544,319.4472894
0.00225,0.968997934,319.7016612,319.6817388,319.6592345,319.6391201,319.6199665,319.6036004,319.5815307,319.5618953,319.5416362,319.5254144,319.501267,319.4834494,319.4630279,319.4457629
0.00225,0.968906837,319.7000965,319.6801745,319.6576705,319.6375563,319.618403,319.6020372,319.5799678,319.5603327,319.5400739,319.5238524,319.4997052,319.4818879,319.4614667,319.444202
0.00225,0.96881574,319.6984373,319.6785159,319.6560126,319.6358992,319.6167466,319.6003815,319.5783127,319.5586783,319.5384201,319.5221993,319.4980528,319.4802361,319.4598155,319.4425515
0.00225,0.968724643,319.6969012,319.6769798,319.6544765,319.634363,319.6152103,319.5988452,319.5767764,319.5571419,319.5368838,319.5206629,319.4965163,319.4786996,319.458279,319.4410149
0.00225,0.968633546,319.6954451,319.6755232,319.6530195,319.6329055,319.6137524,319.5973868,319.5753176,319.5556827,319.5354241,319.5192027,319.4950558,319.4772386,319.4568176,319.439553
0.00225,0.968542449,319.6940415,319.6741193,319.6516152,319.6315009,319.6123474,319.5959815,319.5739119,319.5542766,319.5340176,319.5177959,319.4936486,319.4758311,319.4554097,319.4381448
0.00225,0.968451352,319.6923573,319.6724359,319.6499325,319.6298189,319.6106662,319.594301,319.5722322,319.5525976,319.5323393,319.5161183,319.4919717,319.4741549,319.4537342,319.43647
0.00225,0.968360255,319.6906072,319.6706863,319.6481834,319.6280703,319.6089181,319.5925534,319.570485,319.5508509,319.5305932,319.5143726,319.4902265,319.4724102,319.4519899,319.4347262
0.00225,0.968269159,319.6889516,319.669031,319.6465285,319.6264158,319.607264,319.5908996,319.5688316,319.5491979,319.5289404,319.5127203,319.4885745,319.4707585,319.4503386,319.4330752
0.00225,0.968178062,319.6873196,319.6673995,319.6448975,319.6247853,319.6056339,319.58927,319.5672025,319.5475692,319.5273122,319.5110925,319.4869472,319.4691316,319.4487122,319.4314492
0.00225,0.968086965,319.6856902,319.6657704,319.6432686,319.6231567,319.6040055,319.5876419,319.5655746,319.5459416,319.5256849,319.5094654,319.4853203,319.467505,319.4470857,319.429823
0.00225,0.967995868,319.6840489,319.6641294,319.6416279,319.6215163,319.6023655,319.5860022,319.5639352,319.5443025,319.5240461,319.5078269,319.4836821,319.4658671,319.4454482,319.4281858
0.00225,0.967904771,319.6823585,319.6624397,319.6399388,319.6198278,319.6006776,319.5843149,319.5622485,319.5426164,319.5223605,319.5061419,319.4819977,319.4641833,319.4437649,319.4265031
0.00225,0.967813674,319.6806714,319.660753,319.6382526,319.618142,319.5989922,319.5826299,319.5605639,319.5409322,319.5206768,319.5044586,319.4803148,319.4625008,319.4420828,319.4248214
0.00225,0.967722577,319.679021,319.6591029,319.6366028,319.6164926,319.5973431,319.5809811,319.5589155,319.5392841,319.519029,319.5028111,319.4786676,319.460854,319.4404363,319.4231751
0.00225,0.96763148,319.6774131,319.6574952,319.6349953,319.6148853,319.595736,319.5793742,319.5573088,319.5376776,319.5174227,319.501205,319.4770617,319.4592482,319.4388307,319.4215697
0.00225,0.967540383,319.6758321,319.6559143,319.6334145,319.6133046,319.5941555,319.5777938,319.5557285,319.5360974,319.5158427,319.4996251,319.4754819,319.4576685,319.4372512,319.4199903
0.00225,0.967449286,319.6743396,319.6544218,319.631922,319.611812,319.5926628,319.5763011,319.5542358,319.5346047,319.5143498,319.4981322,319.473989,319.4561756,319.4357582,319.4184973
0.00225,0.967358189,319.6729711,319.653053,319.6305529,319.6104425,319.591293,319.574931,319.5528653,319.5332339,319.5129787,319.4967608,319.4726172,319.4548035,319.4343857,319.4171245
0.00225,0.967267092,319.6714534,319.6515354,319.6290355,319.6089254,319.589776,319.5734142,319.5513487,319.5317175,319.5114625,319.4952447,319.4711014,319.4532878,319.4328702,319.4156092
0.00225,0.967175995,319.6698124,319.6498948,319.6273953,319.6072856,319.5881366,319.5717752,319.5497101,319.5300792,319.5098247,319.4936073,319.4694643,319.4516511,319.4312339,319.4139732
0.00225,0.967084899,319.6681957,319.6482783,319.6257789,319.6056693,319.5865205,319.5701592,319.5480943,319.5284635,319.5082091,319.4919919,319.467849,319.4500359,319.4296189,319.4123584
0.00225,0.966993802,319.6666532,319.6467358,319.6242366,319.604127,319.5849783,319.5686171,319.5465522,319.5269216,319.5066672,319.4904501,319.4663073,319.4484943,319.4280773,319.4108168
0.00225,0.966902705,319.6650254,319.6451087,319.62261,319.6025011,319.583353,319.5669923,319.544928,319.525298,319.5050442,319.4888276,319.4646854,319.4468729,319.4264565,319.4091966
