% Model,sim11_Out_t.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,
% Date,"Mar 7 2022, 15:15",,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,
% Nodes,10649,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,
% Description,Temperature,,,,,,,,,,,,,,
% Length unit,m,0.9766,0.98286,0.98912,0.99538,1.0016,1.0079,1.0142,1.0204,1.0267,1.033,1.0392,1.0455,1.0517,1.058
% r,z,T (K) @ thermalCo=0.9766,T (K) @ thermalCo=0.98286,T (K) @ thermalCo=0.98912,T (K) @ thermalCo=0.99538,T (K) @ thermalCo=1.0016,T (K) @ thermalCo=1.0079,T (K) @ thermalCo=1.0142,T (K) @ thermalCo=1.0204,T (K) @ thermalCo=1.0267,T (K) @ thermalCo=1.033,T (K) @ thermalCo=1.0392,T (K) @ thermalCo=1.0455,T (K) @ thermalCo=1.0517,T (K) @ thermalCo=1.058
0,0,0.9766,0.98286,0.98912,0.99538,1.0016,1.0079,1.0142,1.0204,1.0267,1.033,1.0392,1.0455,1.0517,1.058
0.00225,0.969908903,329.3475407,329.2602392,329.1897682,329.107896,329.0531223,328.9646847,328.8946054,328.8350982,328.7642333,328.6776011,328.6107326,328.5296875,328.463743,328.3893874
0.00225,0.97,329.2660705,329.179439,329.1096551,329.0284766,328.9743973,328.8865782,328.8171494,328.7582804,328.6880438,328.6020445,328.535795,328.4553476,328.3900173,328.3162561
0.00225,0.969817806,329.3179458,329.2310397,329.1609108,329.0793329,329.0248285,328.9367889,328.8670239,328.8078273,328.7372728,328.6509187,328.5843375,328.5036016,328.4379079,328.3638244
0.00225,0.969726709,329.3035313,329.2167055,329.1466128,329.0650322,329.0105056,328.9225707,328.8528367,328.7936721,328.7231542,328.6368114,328.5702545,328.489568,328.4238726,328.349812
0.00225,0.969635612,329.3056519,329.218832,329.1487015,329.0670461,329.0124231,328.9245209,328.8547448,328.7955396,328.724986,328.6385833,328.5719791,328.49127,328.4255017,328.3513933
0.00225,0.969544515,329.3021796,329.215432,329.1453288,329.0636639,329.0090079,328.9212024,328.8514464,328.792262,328.7217333,328.6353313,328.5687388,328.4880652,328.4222819,328.3481828
0.00225,0.969453418,329.3005949,329.2138954,329.1437946,329.0620944,329.0073812,328.9196491,328.8498899,328.7907036,328.7201775,328.6337528,328.56715,328.4864909,328.4206708,328.3465598
0.00225,0.969362322,329.298226,329.2115819,329.1414929,329.0597692,329.005009,328.9173577,328.8476043,328.7884249,328.7179099,328.6314728,328.5648687,328.4842316,328.4183843,328.3442702
0.00225,0.969271225,329.296597,329.2099981,329.1399122,329.0581574,329.0033421,328.9157624,328.8460065,328.7868259,328.7163139,328.6298576,328.5632449,328.4826219,328.4167408,328.3426168
0.00225,0.969180128,329.2949025,329.2083506,329.1382691,329.0564848,329.0016135,328.9141088,328.8443515,328.7851707,328.7146626,328.628189,328.561569,328.480961,328.4150468,328.3409146
0.00225,0.969089031,329.2932156,329.2067162,329.1366401,329.0548247,328.9998915,328.912471,328.8427127,328.7835322,328.713029,328.6265376,328.5599104,328.4793195,328.4133696,328.3392292
0.00225,0.968997934,329.2913129,329.2048702,329.134802,329.0529569,328.997962,328.9106312,328.8408744,328.7816965,328.7112008,328.6246934,328.5580609,328.4774898,328.4115051,328.3373583
0.00225,0.968906837,329.2891554,329.2027689,329.1327103,329.0508393,328.9957855,328.9085444,328.8387908,328.7796174,328.7091308,328.6226105,328.5559751,328.475425,328.4094085,328.3352579
0.00225,0.96881574,329.2868967,329.2005512,329.130499,329.0486087,328.9935059,328.9063357,328.8365837,328.7774127,328.7069325,328.6204036,328.5537659,328.4732312,328.4071897,328.3330367
0.00225,0.968724643,329.2854418,329.1991285,329.1290751,329.0471589,328.9920011,328.9048924,328.8351348,328.7759589,328.7054781,328.6189342,328.5522875,328.4717607,328.405689,328.3315273
0.00225,0.968633546,329.2840944,329.197828,329.1277771,329.0458275,328.9906081,328.9035764,328.833815,328.7746365,328.7041579,328.6175938,328.5509373,328.4704237,328.4043157,328.3301435
0.00225,0.968542449,329.282519,329.1963042,329.1262595,329.0442794,328.9890019,328.9020513,328.8322896,328.773112,328.7026394,328.6160578,328.5493943,328.4688979,328.4027561,328.328576
0.00225,0.968451352,329.2801683,329.1940043,329.1239682,329.0419628,328.9866348,328.8997622,328.8300033,328.7708295,328.7003658,328.6137705,328.5471034,328.4666264,328.4004562,328.3262717
0.00225,0.968360255,329.2780062,329.1918946,329.121864,329.0398288,328.9844375,328.8976512,328.8278918,328.7687185,328.6982607,328.6116494,328.5449758,328.4645166,328.3983118,328.3241206
0.00225,0.968269159,329.2758853,329.1898254,329.1198011,329.0377381,328.9822854,328.895585,328.8258259,328.766654,328.696203,328.6095773,328.5428982,328.4624573,328.3962196,328.3220229
0.00225,0.968178062,329.2737961,329.1877843,329.1177651,329.0356749,328.980163,328.8935433,328.8237838,328.7646123,328.6941672,328.6075273,328.5408421,328.4604179,328.3941485,328.319946
0.00225,0.968086965,329.2719634,329.1859962,329.1159793,329.0338595,328.9782863,328.8917437,328.821981,328.7628072,328.6923655,328.6057089,328.5390151,328.4586049,328.3923018,328.3180912
0.00225,0.967995868,329.2699155,329.1839983,329.1139871,329.0318389,328.9762044,328.8897455,328.8199824,328.760809,328.6903737,328.603702,328.5370017,328.4566089,328.3902731,328.3160562
