% Model,sim39_Out_t.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,
% Date,"Mar 7 2022, 15:34",,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,
% Nodes,10649,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,
% Description,Temperature,,,,,,,,,,,,,,
% Length unit,m,3.4309,3.4372,3.4434,3.4497,3.4559,3.4622,3.4685,3.4747,3.481,3.4873,3.4935,3.4998,3.506,3.5123
% r,z,T (K) @ thermalCo=3.4309,T (K) @ thermalCo=3.4372,T (K) @ thermalCo=3.4434,T (K) @ thermalCo=3.4497,T (K) @ thermalCo=3.4559,T (K) @ thermalCo=3.4622,T (K) @ thermalCo=3.4685,T (K) @ thermalCo=3.4747,T (K) @ thermalCo=3.481,T (K) @ thermalCo=3.4873,T (K) @ thermalCo=3.4935,T (K) @ thermalCo=3.4998,T (K) @ thermalCo=3.506,T (K) @ thermalCo=3.5123
0,0,3.4309,3.4372,3.4434,3.4497,3.4559,3.4622,3.4685,3.4747,3.481,3.4873,3.4935,3.4998,3.506,3.5123
0.00225,0.969908903,317.4436139,317.433766,317.42265,317.4077964,317.4005245,317.3900294,317.3804579,317.365809,317.3551556,317.3474515,317.3357656,317.3278913,317.31756,317.305317
0.00225,0.97,317.4300216,317.4202119,317.4091339,317.3943183,317.3870841,317.3766267,317.3670926,317.352481,317.3418646,317.3341975,317.3225484,317.3147107,317.3044159,317.2922092
0.00225,0.969817806,317.442185,317.4323458,317.4212383,317.4063933,317.3991299,317.3886433,317.3790802,317.3644397,317.3537945,317.3460986,317.3344209,317.3265547,317.3162315,317.3039965
0.00225,0.969726709,317.4366214,317.4267924,317.4156951,317.4008603,317.393607,317.3831304,317.3735773,317.3589468,317.3483116,317.3406256,317.3289578,317.3211015,317.3107881,317.2985629
0.00225,0.969635612,317.4345829,317.4247526,317.4136541,317.398818,317.3915634,317.3810857,317.3715313,317.3568996,317.3462632,317.3385761,317.3269071,317.3190496,317.3087351,317.2965087
0.00225,0.969544515,317.4328308,317.4230006,317.4119022,317.3970662,317.3898117,317.3793341,317.3697798,317.3551482,317.3445119,317.3368249,317.325156,317.3172986,317.3069842,317.2947579
0.00225,0.969453418,317.4312827,317.4214524,317.4103539,317.3955178,317.3882633,317.3777855,317.3682312,317.3535995,317.3429631,317.335276,317.323607,317.3157495,317.305435,317.2932086
0.00225,0.969362322,317.4296733,317.4198432,317.4087448,317.3939089,317.3866545,317.3761769,317.3666227,317.3519911,317.3413549,317.3336679,317.3219991,317.3141417,317.3038273,317.2916011
0.00225,0.969271225,317.4281325,317.4183024,317.4072039,317.3923679,317.3851135,317.3746358,317.3650816,317.35045,317.3398137,317.3321267,317.3204578,317.3126004,317.3022859,317.2900597
