% Model,sim30_Out_t.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,
% Date,"Mar 7 2022, 15:29",,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,
% Nodes,10649,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,
% Description,Temperature,,,,,,,,,,,,,,
% Length unit,m,2.642,2.6483,2.6545,2.6608,2.667,2.6733,2.6796,2.6858,2.6921,2.6984,2.7046,2.7109,2.7171,2.7234
% r,z,T (K) @ thermalCo=2.642,T (K) @ thermalCo=2.6483,T (K) @ thermalCo=2.6545,T (K) @ thermalCo=2.6608,T (K) @ thermalCo=2.667,T (K) @ thermalCo=2.6733,T (K) @ thermalCo=2.6796,T (K) @ thermalCo=2.6858,T (K) @ thermalCo=2.6921,T (K) @ thermalCo=2.6984,T (K) @ thermalCo=2.7046,T (K) @ thermalCo=2.7109,T (K) @ thermalCo=2.7171,T (K) @ thermalCo=2.7234
0,0,2.642,2.6483,2.6545,2.6608,2.667,2.6733,2.6796,2.6858,2.6921,2.6984,2.7046,2.7109,2.7171,2.7234
0.00225,0.969908903,319.1941033,319.1769947,319.1547039,319.1385506,319.1202927,319.1039328,319.0851,319.0708115,319.0545061,319.0360159,319.0177333,319.0020745,318.9835401,318.9669298
0.00225,0.97,319.1739171,319.1568792,319.1346588,319.1185755,319.1003873,319.0840966,319.0653327,319.0511126,319.0348754,319.0164529,318.9982377,318.9826459,318.9641782,318.9476342
0.00225,0.969817806,319.190911,319.1738237,319.1515541,319.1354218,319.1171848,319.1008456,319.0820334,319.0677652,319.05148,319.03301,319.0147473,318.9991083,318.9805936,318.9640027
0.00225,0.969726709,319.1837287,319.1666574,319.1444037,319.1282873,319.1100661,319.0937427,319.0749461,319.0606936,319.044424,319.0259695,319.0077223,318.9920987,318.9735993,318.9570238
0.00225,0.969635612,319.1819801,319.1649051,319.1426478,319.1265278,319.108303,319.0919759,319.0731759,319.0589199,319.0426468,319.0241888,319.0059382,318.9903112,318.9718084,318.9552296
0.00225,0.969544515,319.1801869,319.1631126,319.1408559,319.1247366,319.1065125,319.0901861,319.0713866,319.0571312,319.0408588,319.0224014,319.0041514,318.9885249,318.9700228,318.9534445
0.00225,0.969453418,319.1786491,319.1615748,319.139318,319.1231986,319.1049744,319.0886479,319.0698484,319.055593,319.0393205,319.020863,319.0026129,318.9869864,318.9684842,318.9519059
0.00225,0.969362322,319.1770057,319.1599318,319.1376755,319.1215566,319.1033328,319.0870068,319.0682077,319.0539527,319.0376806,319.0192235,319.0009738,318.9853477,318.9668459,318.950268
0.00225,0.969271225,319.1754705,319.1583966,319.1361402,319.1200212,319.1017975,319.0854714,319.0666723,319.0524172,319.0361451,319.017688,318.9994383,318.9838122,318.9653104,318.9487324
0.00225,0.969180128,319.173924,319.1568501,319.1345937,319.1184747,319.1002509,319.0839249,319.0651258,319.0508707,319.0345986,319.0161415,318.9978918,318.9822657,318.9637638,318.9471858
0.00225,0.969089031,319.172408,319.1553339,319.1330774,319.1169583,319.0987344,319.0824082,319.0636089,319.0493537,319.0330815,319.0146243,318.9963744,318.9807482,318.9622462,318.9456681
0.00225,0.968997934,319.1708816,319.1538075,319.131551,319.1154319,319.0972079,319.0808817,319.0620825,319.0478273,319.031555,319.0130978,318.9948479,318.9792216,318.9607196,318.9441415
0.00225,0.968906837,319.1693241,319.1522502,319.129994,319.113875,319.0956513,319.0793253,319.0605262,319.0462712,319.0299991,319.011542,318.9932923,318.9776662,318.9591644,318.9425864
0.00225,0.96881574,319.1676826,319.1506093,319.1283536,319.1122352,319.094012,319.0776865,319.058888,319.0446335,319.0283619,319.0099054,318.9916562,318.9760306,318.9575293,318.9409518
0.00225,0.968724643,319.1661455,319.1490722,319.1268164,319.110698,319.0924748,319.0761493,319.0573507,319.0430962,319.0268246,319.0083681,318.9901189,318.9744932,318.9559919,318.9394144
0.00225,0.968633546,319.1646774,319.1476037,319.1253476,319.1092287,319.0910051,319.0746792,319.0558803,319.0416254,319.0253534,319.0068964,318.9886469,318.9730209,318.9545191,318.9379413
0.00225,0.968542449,319.1632637,319.1461896,319.1239331,319.1078139,319.08959,319.0732637,319.0544644,319.0402091,319.0239368,319.0054795,318.9872295,318.9716032,318.9531011,318.9365228
0.00225,0.968451352,319.1615985,319.1445251,319.1222691,319.1061505,319.0879272,319.0716015,319.0528027,319.038548,319.0222763,319.0038195,318.9855702,318.9699443,318.9514428,318.9348651
0.00225,0.968360255,319.1598616,319.1427885,319.120533,319.1044149,319.0861919,319.0698666,319.0510683,319.036814,319.0205427,319.0020863,318.9838374,318.968212,318.9497108,318.9331336
0.00225,0.968269159,319.1582151,319.1411423,319.1188871,319.1027692,319.0845465,319.0682215,319.0494235,319.0351695,319.0188984,319.0004423,318.9821936,318.9665684,318.9480676,318.9314905
0.00225,0.968178062,319.1565953,319.139523,319.1172681,319.1011506,319.0829283,319.0666037,319.047806,319.0335523,319.0172816,318.9988259,318.9805776,318.9649528,318.9464522,318.9298755
0.00225,0.968086965,319.1549724,319.1379002,319.1156456,319.0995283,319.0813062,319.0649818,319.0461843,319.0319308,319.0156603,318.9972048,318.9789566,318.963332,318.9448317,318.9282552
0.00225,0.967995868,319.1533393,319.1362674,319.114013,319.097896,319.0796741,319.0633499,319.0445527,319.0302995,319.0140292,318.9955739,318.977326,318.9617016,318.9432015,318.9266252
0.00225,0.967904771,319.1516645,319.1345931,319.1123392,319.0962226,319.0780012,319.0616776,319.0428808,319.0286281,319.0123582,318.9939034,318.975656,318.9600321,318.9415324,318.9249566
0.00225,0.967813674,319.1499885,319.1329175,319.110664,319.0945477,319.0763267,319.0600034,319.041207,319.0269546,319.0106851,318.9922306,318.9739835,318.9583599,318.9398606,318.9232851
0.00225,0.967722577,319.1483466,319.1312758,319.1090226,319.0929067,319.0746859,319.0583628,319.0395667,319.0253145,319.0090453,318.9905911,318.9723443,318.9567209,318.9382219,318.9216466
0.00225,0.96763148,319.1467438,319.1296731,319.10742,319.0913043,319.0730836,319.0567607,319.0379647,319.0237128,319.0074437,318.9889896,318.9707429,318.9551197,318.9366208,318.9200457
0.00225,0.967540383,319.145166,319.1280955,319.1058425,319.0897268,319.0715063,319.0551835,319.0363876,319.0221357,319.0058667,318.9874128,318.9691662,318.9535431,318.9350442,318.9184692
0.00225,0.967449286,319.1436722,319.1266016,319.1043486,319.0882329,319.0700123,319.0536894,319.0348935,319.0206415,319.0043725,318.9859185,318.9676718,318.9520486,318.9335497,318.9169747
0.00225,0.967358189,319.1422947,319.1252237,319.1029704,319.0868543,319.0686335,319.0523103,319.033514,319.0192617,319.0029924,318.9845381,318.9662911,318.9506676,318.9321684,318.9155931
0.00225,0.967267092,319.1407818,319.123711,319.1014578,319.0853419,319.0671212,319.0507981,319.032002,319.0177499,319.0014807,318.9830265,318.9647797,318.9491564,318.9306573,318.9140821
0.00225,0.967175995,319.1391512,319.1220808,319.0998279,319.0837124,319.065492,319.0491692,319.0303735,319.0161217,318.9998528,318.9813989,318.9631524,318.9475294,318.9290307,318.9124558
0.00225,0.967084899,319.1375383,319.120468,319.0982152,319.0820998,319.0638795,319.0475569,319.0287612,319.0145096,318.9982408,318.9797871,318.9615407,318.9459178,318.9274192,318.9108444
0.00225,0.966993802,319.1359976,319.1189273,319.0966746,319.0805592,319.062339,319.0460165,319.0272208,319.0129692,318.9967005,318.9782468,318.9600004,318.9443776,318.925879,318.9093042
0.00225,0.966902705,319.1343852,319.1173155,319.0950632,319.0789483,319.0607286,319.0444065,319.0256114,319.0113602,318.9950919,318.9766387,318.9583928,318.9427704,318.9242723,318.907698
0.00225,0.966811608,319.1326461,319.1155769,319.0933252,319.0772109,319.0589917,319.0426702,319.0238756,319.009625,318.9933573,318.9749047,318.9566593,318.9410375,318.9225399,318.9059661
0.00225,0.966720511,319.1309758,319.1139066,319.0916549,319.0755405,319.0573213,319.0409998,319.0222052,319.0079545,318.9916868,318.9732341,318.9549887,318.9393669,318.9208693,318.9042955
0.00225,0.966629414,319.129254,319.112185,319.0899335,319.0738194,319.0556004,319.0392791,319.0204847,319.0062343,318.9899668,318.9715143,318.9532691,318.9376475,318.9191501,318.9025765
0.00225,0.966538317,319.1275676,319.1104987,319.0882474,319.0721333,319.0539144,319.0375932,319.0187989,319.0045486,318.9882812,318.9698288,318.9515838,318.9359622,318.917465,318.9008915
0.00225,0.96644722,319.12599,319.1089211,319.0866697,319.0705556,319.0523367,319.0360155,319.0172211,319.0029708,318.9867034,318.968251,318.9500059,318.9343843,318.915887,318.8993135
0.00225,0.966356123,319.12435,319.1072814,319.0850303,319.0689164,319.0506978,319.0343768,319.0155827,319.0013326,318.9850655,318.9666133,318.9483684,318.9327471,318.91425,318.8976768
0.00225,0.966265026,319.1227732,319.1057045,319.0834534,319.0673396,319.0491209,319.0327999,319.0140058,318.9997557,318.9834885,318.9650363,318.9467915,318.9311701,318.912673,318.8960998
0.00225,0.966173929,319.1212351,319.1041664,319.0819152,319.0658014,319.0475827,319.0312617,319.0124676,318.9982175,318.9819502,318.963498,318.9452531,318.9296318,318.9111347,318.8945613
0.00225,0.966082832,319.119667,319.1025985,319.0803474,319.0642337,319.0460151,319.0296942,319.0109002,318.9966502,318.9803831,318.961931,318.9436863,318.928065,318.909568,318.8929948
0.00225,0.965991736,319.1179581,319.1008901,319.0786395,319.0625263,319.0443082,319.0279877,319.0091942,318.9949447,318.978678,318.9602264,318.9419821,318.9263613,318.9078647,318.891292
0.00225,0.965900639,319.1163112,319.0992433,319.0769929,319.0608798,319.0426618,319.0263415,319.0075481,318.9932987,318.9770322,318.9585807,318.9403365,318.9247158,318.9062194,318.8896467
0.00225,0.965809542,319.1146588,319.097591,319.0753408,319.0592278,319.04101,319.0246899,319.0058967,318.9916474,318.9753811,318.9569297,318.9386857,318.9230652,318.9045689,318.8879964
0.00225,0.965718445,319.1130403,319.0959725,319.0737222,319.0576091,319.0393913,319.0230711,319.0042778,318.9900285,318.973762,318.9553106,318.9370665,318.921446,318.9029496,318.8863771
0.00225,0.965627348,319.1115214,319.0944533,319.0722027,319.0560894,319.0378712,319.0215507,319.0027572,318.9885076,318.9722409,318.9537891,318.9355448,318.9199239,318.9014273,318.8848544
