% Model,sim38_Out_t.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,
% Date,"Mar 7 2022, 15:33",,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,
% Nodes,10649,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,
% Description,Temperature,,,,,,,,,,,,,,
% Length unit,m,3.3433,3.3496,3.3558,3.3621,3.3683,3.3746,3.3809,3.3871,3.3934,3.3997,3.4059,3.4122,3.4184,3.4247
% r,z,T (K) @ thermalCo=3.3433,T (K) @ thermalCo=3.3496,T (K) @ thermalCo=3.3558,T (K) @ thermalCo=3.3621,T (K) @ thermalCo=3.3683,T (K) @ thermalCo=3.3746,T (K) @ thermalCo=3.3809,T (K) @ thermalCo=3.3871,T (K) @ thermalCo=3.3934,T (K) @ thermalCo=3.3997,T (K) @ thermalCo=3.4059,T (K) @ thermalCo=3.4122,T (K) @ thermalCo=3.4184,T (K) @ thermalCo=3.4247
0,0,3.3433,3.3496,3.3558,3.3621,3.3683,3.3746,3.3809,3.3871,3.3934,3.3997,3.4059,3.4122,3.4184,3.4247
0.00225,0.969908903,317.598005,317.5855045,317.5757373,317.5646891,317.5508021,317.5430332,317.5294985,317.5173445,317.5066081,317.4960962,317.4832194,317.4756438,317.4647422,317.452321
0.00225,0.97,317.5838596,317.5713998,317.5616731,317.5506652,317.5368183,317.5290894,317.5155944,317.5034801,317.4927831,317.4823105,317.4694727,317.4619361,317.4510732,317.4386906
0.00225,0.969817806,317.5964482,317.5839572,317.5741995,317.5631608,317.5492831,317.5415235,317.5279979,317.5158532,317.5051259,317.4946231,317.4817551,317.4741885,317.4632958,317.4508834
0.00225,0.969726709,317.5907382,317.578258,317.5685109,317.5574828,317.5436157,317.5358667,317.5223516,317.5102174,317.4995005,317.4890081,317.4761505,317.4685943,317.4577118,317.4453097
0.00225,0.969635612,317.5887188,317.5762371,317.5664886,317.5554591,317.5415906,317.5338401,317.5203237,317.5081881,317.4974699,317.4869761,317.4741172,317.4665596,317.4556759,317.4432724
0.00225,0.969544515,317.5869649,317.5744833,317.564735,317.5537056,317.5398372,317.5320869,317.5185706,317.5064351,317.495717,317.4852234,317.4723646,317.4648071,317.4539235,317.4415202
0.00225,0.969453418,317.5854181,317.5729364,317.563188,317.5521585,317.53829,317.5305397,317.5170233,317.5048877,317.4941695,317.4836757,317.4708169,317.4632593,317.4523756,317.4399722
0.00225,0.969362322,317.5838064,317.571325,317.5615767,317.5505474,317.5366791,317.5289288,317.5154126,317.5032772,317.4925592,317.4820656,317.4692069,317.4616495,317.4507659,317.4383627
0.00225,0.969271225,317.5822664,317.5697849,317.5600366,317.5490072,317.5351389,317.5273886,317.5138723,317.5017368,317.4910187,317.4805251,317.4676664,317.4601089,317.4492253,317.436822
0.00225,0.969180128,317.5807183,317.5682368,317.5584885,317.5474591,317.5335907,317.5258404,317.5123241,317.5001886,317.4894705,317.4789768,317.4661181,317.4585606,317.447677,317.4352736
0.00225,0.969089031,317.5791887,317.5667071,317.5569586,317.5459291,317.5320606,317.5243102,317.5107939,317.4986583,317.48794,317.4774463,317.4645874,317.4570299,317.4461461,317.4337427
0.00225,0.968997934,317.5776568,317.5651751,317.5554266,317.544397,317.5305285,317.522778,317.5092615,317.4971259,317.4864076,317.4759138,317.4630548,317.4554972,317.4446134,317.4322099
0.00225,0.968906837,317.5761091,317.5636275,317.553879,317.5428494,317.5289809,317.5212304,317.507714,317.4955783,317.48486,317.4743662,317.4615073,317.4539497,317.4430659,317.4306624
0.00225,0.96881574,317.574509,317.5620275,317.5522793,317.5412499,317.5273816,317.5196314,317.5061152,317.4939797,317.4832617,317.4727681,317.4599094,317.452352,317.4414684,317.4290651
0.00225,0.968724643,317.5729691,317.5604876,317.5507393,317.53971,317.5258416,317.5180914,317.5045751,317.4924397,317.4817216,317.471228,317.4583693,317.4508118,317.4399282,317.4275249
0.00225,0.968633546,317.5714661,317.5589844,317.5492359,317.5382063,317.5243377,317.5165872,317.5030707,317.4909351,317.4802167,317.4697229,317.456864,317.4493063,317.4384225,317.4260189
0.00225,0.968542449,317.5700141,317.5575321,317.5477833,317.5367534,317.5228845,317.5151337,317.501617,317.489481,317.4787624,317.4682682,317.455409,317.447851,317.4369669,317.424563
0.00225,0.968451352,317.568394,317.5559123,317.5461637,317.535134,317.5212654,317.5135149,317.4999984,317.4878626,317.4771442,317.4666503,317.4537913,317.4462336,317.4353497,317.4229461
0.00225,0.968360255,317.566694,317.5542125,317.5444642,317.5334348,317.5195665,317.5118162,317.4982999,317.4861644,317.4754463,317.4649526,317.4520938,317.4445364,317.4336527,317.4212493
0.00225,0.968269159,317.5650674,317.5525859,317.5428377,317.5318084,317.5179402,317.51019,317.4966738,317.4845384,317.4738204,317.4633268,317.4504682,317.4429108,317.4320273,317.419624
0.00225,0.968178062,317.5634753,317.5509941,317.541246,317.5302169,317.5163488,317.5085987,317.4950827,317.4829474,317.4722295,317.4617361,317.4488776,317.4413203,317.4304369,317.4180338
0.00225,0.968086965,317.5618686,317.5493874,317.5396395,317.5286104,317.5147424,317.5069925,317.4934765,317.4813413,317.4706236,317.4601302,317.4472718,317.4397147,317.4288313,317.4164283
0.00225,0.967995868,317.5602534,317.5477723,317.5380244,317.5269955,317.5131275,317.5053777,317.4918618,317.4797268,317.4690091,317.4585158,317.4456575,317.4381004,317.4272172,317.4148142
0.00225,0.967904771,317.5586168,317.546136,317.5363883,317.5253596,317.5114919,317.5037422,317.4902266,317.4780918,317.4673743,317.4568813,317.4440231,317.4364663,317.4255833,317.4131805
0.00225,0.967813674,317.5569703,317.5444896,317.5347422,317.5237136,317.5098461,317.5020967,317.4885812,317.4764465,317.4657293,317.4552364,317.4423785,317.4348218,317.423939,317.4115364
0.00225,0.967722577,317.5553499,317.5428693,317.533122,317.5220936,317.5082262,317.5004769,317.4869616,317.474827,317.4641098,317.4536171,317.4407593,317.4332027,317.42232,317.4099176
0.00225,0.96763148,317.5537585,317.5412781,317.5315308,317.5205024,317.5066351,317.4988859,317.4853706,317.4732361,317.462519,317.4520264,317.4391686,317.4316121,317.4207294,317.408327
0.00225,0.967540383,317.5521869,317.5397065,317.5299593,317.5189309,317.5050636,317.4973144,317.4837992,317.4716647,317.4609476,317.450455,317.4375972,317.4300407,317.4191581,317.4067557
0.00225,0.967449286,317.5506855,317.538205,317.5284576,317.5174292,317.5035618,317.4958125,317.4822972,317.4701627,317.4594455,317.4489528,317.436095,317.4285384,317.4176557,317.4052532
0.00225,0.967358189,317.5492772,317.5367965,317.5270489,317.5160203,317.5021526,317.4944031,317.4808875,317.4687528,317.4580354,317.4475424,317.4346844,317.4271276,317.4162446,317.403842
0.00225,0.967267092,317.5477744,317.5352937,317.5255462,317.5145176,317.50065,317.4929005,317.479385,317.4672502,317.4565329,317.44604,317.433182,317.4256252,317.4147423,317.4023397
0.00225,0.967175995,317.5461727,317.5336922,317.5239449,317.5129165,317.4990491,317.4912998,317.4777845,317.4656499,317.4549328,317.44444,317.4315822,317.4240257,317.4131429,317.4007405
0.00225,0.967084899,317.5445713,317.5320908,317.5223436,317.5113153,317.497448,317.4896988,317.4761836,317.4640491,317.453332,317.4428394,317.4299817,317.4224252,317.4115425,317.3991402
0.00225,0.966993802,317.5430313,317.5305509,317.5208036,317.5097753,317.495908,317.4881587,317.4746435,317.462509,317.4517919,317.4412993,317.4284415,317.420885,317.4100024,317.3976
0.00225,0.966902705,317.5414564,317.5289762,317.5192292,317.5082011,317.494334,317.486585,317.4730699,317.4609357,317.4502188,317.4397263,317.4268688,317.4193125,317.4084301,317.3960279
0.00225,0.966811608,317.5397697,317.5272899,317.5175433,317.5065155,317.4926488,317.4849001,317.4713855,317.4592516,317.448535,317.438043,317.4251858,317.4176299,317.4067478,317.3943459
0.00225,0.966720511,317.5381019,317.5256222,317.5158756,317.5048479,317.4909812,317.4832326,317.469718,317.4575842,317.4468678,317.4363758,317.4235186,317.4159628,317.4050808,317.392679
0.00225,0.966629414,317.5364001,317.5239205,317.5141741,317.5031465,317.48928,317.4815316,317.4680171,317.4558835,317.4451672,317.4346753,317.4218183,317.4142626,317.4033808,317.3909791
0.00225,0.966538317,317.5347237,317.5222442,317.5124978,317.5014704,317.4876039,317.4798556,317.4663412,317.4542076,317.4434914,317.4329996,317.4201427,317.412587,317.4017053,317.3893037
0.00225,0.96644722,317.533141,317.5206614,317.510915,317.4998875,317.486021,317.4782726,317.4647582,317.4526245,317.4419082,317.4314164,317.4185595,317.4110038,317.4001219,317.3877203
0.00225,0.966356123,317.5315213,317.5190419,317.5092956,317.4982682,317.4844018,317.4766535,317.4631392,317.4510057,317.4402895,317.4297978,317.416941,317.4093854,317.3985037,317.3861022
0.00225,0.966265026,317.5299426,317.5174631,317.5077168,317.4966894,317.482823,317.4750747,317.4615604,317.4494268,317.4387107,317.4282189,317.4153621,317.4078065,317.3969248,317.3845233
0.00225,0.966173929,317.5284007,317.5159212,317.5061749,317.4951474,317.481281,317.4735327,317.4600183,317.4478847,317.4371685,317.4266767,317.4138199,317.4062642,317.3953825,317.3829809
0.00225,0.966082832,317.5268416,317.5143621,317.5046158,317.4935884,317.4797221,317.4719738,317.4584594,317.4463259,317.4356097,317.425118,317.4122612,317.4047056,317.3938239,317.3814224
0.00225,0.965991736,317.5251733,317.5126941,317.5029481,317.491921,317.4780549,317.4703069,317.4567928,317.4446595,317.4339437,317.4234522,317.4105956,317.4030403,317.3921589,317.3797576
0.00225,0.965900639,317.5235377,317.5110585,317.5013126,317.4902856,317.4764196,317.4686716,317.4551577,317.4430245,317.4323086,317.4218173,317.4089608,317.4014056,317.3905242,317.378123
0.00225,0.965809542,317.5218993,317.5094202,317.4996744,317.4886475,317.4747816,317.4670337,317.4535198,317.4413867,317.430671,317.4201797,317.4073233,317.3997682,317.3888869,317.3764859
