% Model,sim40_Out_t.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,
% Date,"Mar 7 2022, 15:35",,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,
% Nodes,10649,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,
% Description,Temperature,,,,,,,,,,,,,,
% Length unit,m,3.5186,3.5249,3.5311,3.5374,3.5436,3.5499,3.5562,3.5624,3.5687,3.575,3.5812,3.5875,3.5937,3.6
% r,z,T (K) @ thermalCo=3.5186,T (K) @ thermalCo=3.5249,T (K) @ thermalCo=3.5311,T (K) @ thermalCo=3.5374,T (K) @ thermalCo=3.5436,T (K) @ thermalCo=3.5499,T (K) @ thermalCo=3.5562,T (K) @ thermalCo=3.5624,T (K) @ thermalCo=3.5687,T (K) @ thermalCo=3.575,T (K) @ thermalCo=3.5812,T (K) @ thermalCo=3.5875,T (K) @ thermalCo=3.5937,T (K) @ thermalCo=3.6
0,0,3.5186,3.5249,3.5311,3.5374,3.5436,3.5499,3.5562,3.5624,3.5687,3.575,3.5812,3.5875,3.5937,3.6
0.00225,0.969908903,317.2969125,317.2872119,317.2724695,317.2658939,317.2531452,317.2456012,317.234127,317.2224852,317.2135897,317.2040719,317.1927339,317.1838751,317.1744075,317.1659986
0.00225,0.97,317.2838411,317.2741766,317.25947,317.2529301,317.240217,317.2327084,317.2212695,317.2096628,317.2008023,317.1913193,317.180016,317.1711917,317.1617586,317.1533839
0.00225,0.969817806,317.2956,317.2859073,317.2711727,317.2646049,317.251864,317.2443277,317.2328611,317.221227,317.2123391,317.2028287,317.1914982,317.1826467,317.1731865,317.1647849
0.00225,0.969726709,317.2901763,317.2804933,317.2657684,317.2592103,317.246479,317.2389523,317.2274954,317.2158708,317.2069923,317.1974914,317.1861704,317.1773283,317.1678775,317.1594853
0.00225,0.969635612,317.2881209,317.2784369,317.2637109,317.2571516,317.2444193,317.2368915,317.2254334,317.2138078,317.2049283,317.1954264,317.1841043,317.1752613,317.1658094,317.1574162
0.00225,0.969544515,317.2863702,317.2766863,317.2619603,317.2554012,317.2426689,317.2351412,317.2236832,317.2120577,317.2031783,317.1936764,317.1823544,317.1735114,317.1640597,317.1556665
0.00225,0.969453418,317.2848208,317.2751368,317.2604107,317.2538515,317.2411191,317.2335913,317.2221333,317.2105076,317.2016281,317.1921261,317.180804,317.171961,317.1625092,317.1541158
0.00225,0.969362322,317.2832135,317.2735295,317.2588037,317.2522446,317.2395123,317.2319846,317.2205267,317.2089012,317.2000218,317.19052,317.179198,317.1703551,317.1609034,317.1525102
0.00225,0.969271225,317.2816719,317.271988,317.257262,317.2507029,317.2379706,317.2304429,317.2189849,317.2073593,317.1984799,317.188978,317.1776559,317.168813,317.1593612,317.150968
