% Model,sim23_Out_t.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,
% Date,"Mar 7 2022, 15:24",,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,
% Nodes,10649,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,
% Description,Temperature,,,,,,,,,,,,,,
% Length unit,m,2.0284,2.0347,2.0409,2.0472,2.0534,2.0597,2.066,2.0722,2.0785,2.0848,2.091,2.0973,2.1035,2.1098
% r,z,T (K) @ thermalCo=2.0284,T (K) @ thermalCo=2.0347,T (K) @ thermalCo=2.0409,T (K) @ thermalCo=2.0472,T (K) @ thermalCo=2.0534,T (K) @ thermalCo=2.0597,T (K) @ thermalCo=2.066,T (K) @ thermalCo=2.0722,T (K) @ thermalCo=2.0785,T (K) @ thermalCo=2.0848,T (K) @ thermalCo=2.091,T (K) @ thermalCo=2.0973,T (K) @ thermalCo=2.1035,T (K) @ thermalCo=2.1098
0,0,2.0284,2.0347,2.0409,2.0472,2.0534,2.0597,2.066,2.0722,2.0785,2.0848,2.091,2.0973,2.1035,2.1098
0.00225,0.969908903,321.4295868,321.3974183,321.3702674,321.3435899,321.3119192,321.284472,321.2556181,321.2262106,321.2007621,321.1738214,321.1448509,321.1175987,321.0896449,321.0660035
0.00225,0.97,321.3999169,321.3678791,321.3408581,321.3143095,321.2827667,321.2554467,321.226719,321.1974368,321.1721128,321.1452956,321.1164478,321.0893176,321.0614847,321.0379635
0.00225,0.969817806,321.4231917,321.3910712,321.3639678,321.3373375,321.3057135,321.2783127,321.2495047,321.2201428,321.1947394,321.1678434,321.1389172,321.111709,321.0837987,321.0602004
0.00225,0.969726709,321.4140946,321.3819976,321.3549176,321.3283107,321.29671,321.2693323,321.2405474,321.2112084,321.1858279,321.1589548,321.1300513,321.1028657,321.0749779,321.0514022
0.00225,0.969635612,321.4129012,321.380796,321.3537078,321.3270928,321.295484,321.2680984,321.2393055,321.2099587,321.1845704,321.1576895,321.1287783,321.1015852,321.0736899,321.0501067
0.00225,0.969544515,321.4109782,321.3788752,321.3517892,321.3251764,321.2935698,321.2661863,321.2373956,321.2080509,321.1826647,321.1557859,321.1268768,321.0996856,321.0717923,321.0482111
0.00225,0.969453418,321.4094417,321.3773387,321.3502527,321.32364,321.2920334,321.2646499,321.2358592,321.2065145,321.1811283,321.1542495,321.1253405,321.0981493,321.0702561,321.0466749
0.00225,0.969362322,321.4077262,321.3756243,321.3485394,321.3219278,321.2903223,321.2629399,321.2341503,321.2048066,321.1794215,321.1525438,321.1236357,321.0964456,321.0685534,321.0449733
0.00225,0.969271225,321.4061888,321.3740869,321.3470021,321.3203905,321.2887851,321.2614028,321.2326132,321.2032696,321.1778845,321.1510069,321.1220989,321.0949089,321.0670167,321.0434366
