% Model,sim22_Out_t.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,
% Date,"Mar 7 2022, 15:24",,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,
% Nodes,10649,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,
% Description,Temperature,,,,,,,,,,,,,,
% Length unit,m,1.9408,1.9471,1.9533,1.9596,1.9658,1.9721,1.9784,1.9846,1.9909,1.9972,2.0034,2.0097,2.0159,2.0222
% r,z,T (K) @ thermalCo=1.9408,T (K) @ thermalCo=1.9471,T (K) @ thermalCo=1.9533,T (K) @ thermalCo=1.9596,T (K) @ thermalCo=1.9658,T (K) @ thermalCo=1.9721,T (K) @ thermalCo=1.9784,T (K) @ thermalCo=1.9846,T (K) @ thermalCo=1.9909,T (K) @ thermalCo=1.9972,T (K) @ thermalCo=2.0034,T (K) @ thermalCo=2.0097,T (K) @ thermalCo=2.0159,T (K) @ thermalCo=2.0222
0,0,1.9408,1.9471,1.9533,1.9596,1.9658,1.9721,1.9784,1.9846,1.9909,1.9972,2.0034,2.0097,2.0159,2.0222
0.00225,0.969908903,321.8463518,321.8174298,321.7840722,321.7555709,321.7257875,321.6949429,321.6647192,321.6333164,321.6033528,321.5736219,321.5446403,321.5129386,321.4855423,321.4580721
0.00225,0.97,321.8147499,321.7859727,321.7527588,321.7244002,321.6947583,321.6640543,321.6339702,321.6027058,321.5728797,321.5432854,321.5144392,321.4828721,321.4556094,321.4282719
0.00225,0.969817806,321.8392363,321.8103688,321.7770655,321.7486178,321.7188876,321.6880956,321.6579241,321.6265729,321.5966604,321.5669803,321.538049,321.5063971,321.4790502,321.4516289
0.00225,0.969726709,321.8297996,321.8009568,321.7676786,321.7392554,321.70955,321.6787825,321.6486353,321.6173085,321.5874202,321.5577642,321.5288569,321.497229,321.4699058,321.4425084
0.00225,0.969635612,321.8287295,321.7998773,321.76659,321.7381575,321.7084432,321.6776666,321.6475105,321.6161749,321.5862778,321.5566131,321.5276973,321.4960607,321.4687291,321.4413232
0.00225,0.969544515,321.8267714,321.7979217,321.7646373,321.7362073,321.7064959,321.6757217,321.6455682,321.6142351,321.5843404,321.5546782,321.5257648,321.4941306,321.4668014,321.4393979
0.00225,0.969453418,321.8252343,321.7963845,321.7631003,321.7346703,321.704959,321.6741849,321.6440314,321.6126983,321.5828037,321.5531414,321.5242282,321.492594,321.4652648,321.4378613
0.00225,0.969362322,321.8235016,321.794653,321.7613703,321.7329414,321.7032315,321.6724586,321.6423063,321.6109746,321.5810811,321.55142,321.522508,321.490875,321.4635469,321.4361446
0.00225,0.969271225,321.821963,321.7931143,321.7598318,321.7314029,321.7016933,321.6709204,321.6407682,321.6094365,321.5795431,321.5498822,321.5209702,321.4893373,321.4620093,321.4346071
0.00225,0.969180128,321.8204124,321.7915637,321.7582815,321.7298525,321.7001432,321.6693703,321.6392182,321.6078867,321.5779932,321.5483324,321.5194206,321.4877877,321.4604598,321.4330576
0.00225,0.969089031,321.8189072,321.7900583,321.7567763,321.7283472,321.698638,321.667865,321.6377129,321.6063813,321.5764878,321.5468269,321.5179151,321.4862821,321.4589542,321.431552
0.00225,0.968997934,321.8173643,321.7885156,321.7552342,321.7268053,321.6970967,321.6663241,321.6361723,321.6048411,321.5749479,321.5452874,321.516376,321.4847433,321.4574156,321.4300138
0.00225,0.968906837,321.8157501,321.7869023,321.753622,321.7251939,321.6954864,321.6647146,321.6345637,321.6032334,321.573341,321.5436814,321.5147709,321.483139,321.4558122,321.4284112
0.00225,0.96881574,321.8140033,321.7851567,321.7518781,321.7234513,321.6937453,321.6629749,321.6328254,321.6014965,321.5716055,321.5419472,321.5130381,321.4814075,321.454082,321.4266824
0.00225,0.968724643,321.8124728,321.783626,321.7503474,321.7219204,321.6922145,321.6614439,321.6312943,321.5999653,321.5700741,321.5404157,321.5115066,321.4798759,321.4525502,321.4251505
0.00225,0.968633546,321.8110628,321.7822153,321.7489362,321.7205084,321.690802,321.6600307,321.6298804,321.5985509,321.568659,321.539,321.5100902,321.4784589,321.4511326,321.4237323
0.00225,0.968542449,321.8096836,321.7808357,321.7475567,321.7191286,321.6894221,321.6586505,321.6285001,321.5971704,321.5672782,321.537619,321.5087091,321.4770775,321.449751,321.4223505
0.00225,0.968451352,321.807906,321.7790596,321.7457822,321.7173555,321.6876507,321.6568806,321.6267316,321.5954034,321.5655127,321.5358549,321.5069464,321.4753163,321.4479911,321.4205921
0.00225,0.968360255,321.8060983,321.7772526,321.7439763,321.7155504,321.6858466,321.6550773,321.6249292,321.5936019,321.563712,321.5340551,321.5051475,321.4735182,321.4461938,321.4187956
0.00225,0.968269159,321.8043923,321.7755473,321.7422721,321.7138469,321.6841442,321.6533757,321.6232285,321.591902,321.5620129,321.5323569,321.5034501,321.4718216,321.444498,321.4171006
0.00225,0.968178062,321.8026969,321.7738528,321.7405789,321.7121546,321.6824531,321.6516856,321.6215394,321.590214,321.5603258,321.5306708,321.5017651,321.4701375,321.4428149,321.4154185
0.00225,0.968086965,321.8010366,321.772193,321.7389197,321.7104958,321.6807949,321.6500279,321.6198822,321.5885572,321.5586695,321.529015,321.5001098,321.4684826,321.4411605,321.4137645
0.00225,0.967995868,321.7993493,321.7705063,321.737234,321.7088108,321.6791109,321.6483446,321.6181996,321.5868755,321.5569885,321.5273347,321.4984303,321.4668039,321.4394824,321.4120873
0.00225,0.967904771,321.7975854,321.7687435,321.7354726,321.7070504,321.6773518,321.6465866,321.6164428,321.5851199,321.5552339,321.5255813,321.496678,321.4650527,321.4377323,321.4103382
0.00225,0.967813674,321.7958483,321.767007,321.7337371,321.7053155,321.6756179,321.6448534,321.6147103,321.5833881,321.5535029,321.523851,321.4949485,321.4633239,321.4360042,321.4086109
0.00225,0.967722577,321.7941578,321.765317,321.7320479,321.7036269,321.67393,321.6431661,321.6130237,321.5817021,321.5518174,321.5221662,321.4932644,321.4616403,321.4343212,321.4069285
0.00225,0.96763148,321.7925244,321.7636839,321.7304154,321.7019947,321.6722984,321.6415348,321.6113928,321.5800717,321.5501873,321.5205365,321.4916351,321.4600114,321.4326927,321.4053004
0.00225,0.967540383,321.790924,321.7620837,321.7288157,321.7003952,321.6706994,321.6399361,321.6097944,321.5784737,321.5485896,321.5189391,321.490038,321.4584146,321.4310962,321.4037042
0.00225,0.967449286,321.789432,321.7605916,321.7273238,321.6989032,321.6692075,321.6384442,321.6083026,321.5769819,321.5470977,321.5174473,321.4885463,321.4569229,321.4296045,321.4022126
0.00225,0.967358189,321.7880946,321.7592537,321.7259857,321.6975645,321.6678686,321.6371048,321.6069628,321.5756417,321.5457571,321.5161063,321.4872049,321.4555811,321.4282623,321.40087
0.00225,0.967267092,321.7865502,321.7577096,321.7244422,321.6960214,321.6663261,321.6355627,321.6054211,321.5741005,321.5442163,321.5145659,321.485665,321.4540415,321.4267231,321.3993313
0.00225,0.967175995,321.7848633,321.7560233,321.7227568,321.6943365,321.6646421,321.6338794,321.6037385,321.5724185,321.542535,321.5128853,321.4839851,321.4523623,321.4250445,321.3976534
0.00225,0.967084899,321.7832309,321.754391,321.7211249,321.6927047,321.6630107,321.6322481,321.6021075,321.5707878,321.5409044,321.511255,321.482355,321.4507325,321.4234149,321.396024
0.00225,0.966993802,321.7816705,321.7528308,321.7195653,321.6911454,321.6614518,321.6306896,321.6005493,321.56923,321.5393469,321.5096978,321.4807983,321.449176,321.4218587,321.3944682
0.00225,0.966902705,321.7799684,321.7511298,321.7178656,321.6894468,321.6597546,321.6289935,321.5988544,321.5675363,321.5376543,321.5080064,321.479108,321.4474868,321.4201706,321.3927812
0.00225,0.966811608,321.778148,321.7493101,321.716047,321.687629,321.6579378,321.6271775,321.5970392,321.565722,321.5358408,321.5061938,321.4772963,321.445676,321.4183606,321.3909721
0.00225,0.966720511,321.7764947,321.7476565,321.7143932,321.6859747,321.6562834,321.6255228,321.5953842,321.5640668,321.5341853,321.504538,321.4756402,321.4440196,321.416704,321.3893152
0.00225,0.966629414,321.7747341,321.7458963,321.7126337,321.6842156,321.654525,321.6237648,321.5936268,321.5623099,321.5324288,321.5027821,321.4738849,321.4422647,321.4149496,321.3875613
0.00225,0.966538317,321.7730271,321.7441895,321.7109273,321.6825095,321.6528192,321.6220594,321.5919217,321.560605,321.5307242,321.5010778,321.4721808,321.440561,321.413246,321.3858581
0.00225,0.96644722,321.771443,321.7426054,321.7093436,321.6809259,321.651236,321.6204762,321.5903387,321.5590223,321.5291416,321.4994954,321.4705987,321.438979,321.4116642,321.3842765
0.00225,0.966356123,321.7697545,321.7409175,321.7076565,321.6792393,321.6495502,321.6187911,321.5886542,321.5573385,321.5274584,321.4978128,321.4689168,321.4372977,321.4099835,321.3825964
0.00225,0.966265026,321.7681739,321.7393369,321.7060762,321.677659,321.6479701,321.6172111,321.5870744,321.5557588,321.5258787,321.4962333,321.4673373,321.4357183,321.4084042,321.3810173
