% Model,sim19_Out_t.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,
% Date,"Mar 7 2022, 15:22",,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,
% Nodes,10649,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,
% Description,Temperature,,,,,,,,,,,,,,
% Length unit,m,1.6778,1.6841,1.6903,1.6966,1.7028,1.7091,1.7154,1.7216,1.7279,1.7342,1.7404,1.7467,1.7529,1.7592
% r,z,T (K) @ thermalCo=1.6778,T (K) @ thermalCo=1.6841,T (K) @ thermalCo=1.6903,T (K) @ thermalCo=1.6966,T (K) @ thermalCo=1.7028,T (K) @ thermalCo=1.7091,T (K) @ thermalCo=1.7154,T (K) @ thermalCo=1.7216,T (K) @ thermalCo=1.7279,T (K) @ thermalCo=1.7342,T (K) @ thermalCo=1.7404,T (K) @ thermalCo=1.7467,T (K) @ thermalCo=1.7529,T (K) @ thermalCo=1.7592
0,0,1.6778,1.6841,1.6903,1.6966,1.7028,1.7091,1.7154,1.7216,1.7279,1.7342,1.7404,1.7467,1.7529,1.7592
0.00225,0.969908903,323.2986424,323.2573594,323.2200922,323.1854461,323.1469403,323.1058464,323.0685267,323.0302123,322.9933769,322.9581096,322.9253449,322.8860413,322.8509358,322.8121716
0.00225,0.97,323.2598133,323.2187328,323.1816665,323.1472195,323.1089107,323.0680126,323.0308871,322.9927653,322.9561202,322.9210423,322.8884662,322.8493481,322.8144273,322.7758462
0.00225,0.969817806,323.2886881,323.2474876,323.2103017,323.1757362,323.1373112,323.0962961,323.0590545,323.0208173,322.9840597,322.9488679,322.9161766,322.8769485,322.8419164,322.8032253
0.00225,0.969726709,323.278115,323.2369438,323.1997868,323.1652503,323.1268551,323.0858686,323.0486556,323.0104468,322.9737187,322.9385551,322.9058902,322.8666915,322.8316872,322.7930243
0.00225,0.969635612,323.2775247,323.2363399,323.1991692,323.1646192,323.1262115,323.0852117,323.0479856,323.0097636,322.9730238,322.9378471,322.905168,322.865958,322.8309411,322.7922662
0.00225,0.969544515,323.275419,323.2342388,323.1970724,323.1625267,323.1241243,323.0831286,323.0459065,323.0076885,322.970954,322.9357811,322.9031042,322.8638994,322.8288862,322.7902154
0.00225,0.969453418,323.2738833,323.2327031,323.1955365,323.1609908,323.1225891,323.0815932,323.044371,323.0061527,322.9694193,322.9342459,322.9015673,322.8623636,322.8273502,322.7886796
0.00225,0.969362322,323.2720853,323.2309071,323.1937421,323.1591983,323.1207994,323.079805,323.0425845,323.0043679,322.9676373,322.9324654,322.8997868,322.860586,322.8255741,322.7869054
0.00225,0.969271225,323.2705455,323.2293673,323.1922022,323.1576584,323.1192604,323.0782659,323.0410453,323.0028285,322.9660991,322.9309269,322.8982465,322.859047,322.8240349,322.7853665
