% Model,sim17_Out_t.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,
% Date,"Mar 7 2022, 15:20",,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,
% Nodes,10649,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,
% Description,Temperature,,,,,,,,,,,,,,
% Length unit,m,1.5025,1.5088,1.515,1.5213,1.5275,1.5338,1.5401,1.5463,1.5526,1.5589,1.5651,1.5714,1.5776,1.5839
% r,z,T (K) @ thermalCo=1.5025,T (K) @ thermalCo=1.5088,T (K) @ thermalCo=1.515,T (K) @ thermalCo=1.5213,T (K) @ thermalCo=1.5275,T (K) @ thermalCo=1.5338,T (K) @ thermalCo=1.5401,T (K) @ thermalCo=1.5463,T (K) @ thermalCo=1.5526,T (K) @ thermalCo=1.5589,T (K) @ thermalCo=1.5651,T (K) @ thermalCo=1.5714,T (K) @ thermalCo=1.5776,T (K) @ thermalCo=1.5839
0,0,1.5025,1.5088,1.515,1.5213,1.5275,1.5338,1.5401,1.5463,1.5526,1.5589,1.5651,1.5714,1.5776,1.5839
0.00225,0.969908903,324.4512307,324.4096051,324.3647506,324.319676,324.2788716,324.2351345,324.1922944,324.146518,324.107494,324.0651219,324.0201761,323.9748451,323.9356374,323.8962538
0.00225,0.97,324.4059424,324.3645776,324.3199809,324.2751615,324.2346103,324.1911245,324.1485326,324.1030024,324.0642224,324.022092,323.9773859,323.9322919,323.893319,323.8541689
0.00225,0.969817806,324.438559,324.3970452,324.3523021,324.3073379,324.266642,324.2230114,324.180278,324.1346065,324.0956862,324.0534167,324.0085717,323.9633418,323.9242337,323.8849473
0.00225,0.969726709,324.4271069,324.3856257,324.3409159,324.2959853,324.255322,324.2117233,324.1690228,324.1233837,324.0844955,324.042258,323.9974443,323.9522469,323.913171,323.8739152
0.00225,0.969635612,324.4269396,324.385441,324.3407147,324.2957682,324.2550883,324.2114725,324.1687563,324.1231011,324.0841969,324.0419436,323.9971135,323.9519012,323.9128103,323.8735384
0.00225,0.969544515,324.4246634,324.3831717,324.338453,324.2935144,324.2528416,324.2092319,324.1665231,324.1208747,324.0819771,324.0397303,323.9949061,323.9497008,323.9106166,323.8713499
0.00225,0.969453418,324.4231137,324.3816222,324.3369045,324.2919674,324.2512951,324.2076853,324.1649777,324.1193299,324.0804328,324.0381865,323.9933622,323.9481582,323.9090749,323.8698077
0.00225,0.969362322,324.4212358,324.3797474,324.3350333,324.2901004,324.2494313,324.2058241,324.1631201,324.1174756,324.0785814,324.0363382,323.9915163,323.9463159,323.907236,323.8679708
0.00225,0.969271225,324.419679,324.3781909,324.333478,324.2885466,324.2478782,324.204271,324.1615683,324.1159245,324.077031,324.0347884,323.9899665,323.9447674,323.9056886,323.866423
0.00225,0.969180128,324.4181069,324.3766193,324.3319077,324.2869779,324.2463104,324.2027033,324.160002,324.114359,324.0754662,324.0332244,323.9884027,323.9432049,323.9041272,323.8648615
0.00225,0.969089031,324.4165826,324.3750956,324.3303852,324.2854572,324.2447906,324.2011838,324.1584839,324.1128418,324.0739498,324.0317088,323.9868873,323.9416909,323.9026144,323.8633485
0.00225,0.968997934,324.4149771,324.3734916,324.3287834,324.2838581,324.2431933,324.1995875,324.1568899,324.1112495,324.0723592,324.0301198,323.9852993,323.9401052,323.9010307,323.8617653
0.00225,0.968906837,324.4132445,324.3717615,324.3270566,324.2821351,324.241473,324.1978694,324.1551751,324.1095375,324.0706498,324.0284131,323.9835945,323.9384037,323.8993321,323.8600683
0.00225,0.96881574,324.4113493,324.3698692,324.3251677,324.28025,324.239591,324.1959899,324.153299,324.1076645,324.0687798,324.026546,323.9817298,323.9365424,323.897474,323.8582122
0.00225,0.968724643,324.4098296,324.3683491,324.3236479,324.2787308,324.2380719,324.1944703,324.1517798,324.1061453,324.0672606,324.0250268,323.9802102,323.9350233,323.8959552,323.8566927
0.00225,0.968633546,324.4084649,324.3669838,324.3222825,324.2773658,324.2367065,324.193104,324.1504136,324.1047788,324.0658938,324.0236596,323.978842,323.9336554,323.8945872,323.8553235
0.00225,0.968542449,324.4070718,324.3655913,324.3208913,324.2759765,324.2353181,324.1917159,324.1490269,324.103393,324.0645088,324.0222754,323.9774581,323.9322729,323.8932058,323.8539419
0.00225,0.968451352,324.4051348,324.3636573,324.3189611,324.2740504,324.2333954,324.1897959,324.1471106,324.1014801,324.0625991,324.0203689,323.9755541,323.9303726,323.891309,323.8520473
0.00225,0.968360255,324.4032324,324.3617567,324.317063,324.2721554,324.2315025,324.1879045,324.1452218,324.0995933,324.0607144,324.0184862,323.9736728,323.928494,323.8894327,323.850172
0.00225,0.968269159,324.4014222,324.3599487,324.3152578,324.2703534,324.229703,324.1861068,324.1434269,324.0978009,324.0589243,324.0166983,323.9718867,323.9267107,323.887652,323.8483925
0.00225,0.968178062,324.3996125,324.3581412,324.3134532,324.2685521,324.2279042,324.1843099,324.1416329,324.0960093,324.0571351,324.0149116,323.9701017,323.9249287,323.8858726,323.8466145
0.00225,0.968086965,324.3978973,324.356427,324.3117406,324.2668417,324.2261951,324.1826016,324.1399264,324.0943041,324.0554313,324.013209,323.9683998,323.9232286,323.8841742,323.8449164
0.00225,0.967995868,324.3961155,324.3546471,324.3099633,324.2650674,324.224423,324.1808311,324.1381586,324.0925385,324.0536677,324.0114475,323.9666398,323.9214713,323.8824192,323.8431626
0.00225,0.967904771,324.3942324,324.3527663,324.3080852,324.2631927,324.2225507,324.1789607,324.1362911,324.0906734,324.0518051,324.0095872,323.9647813,323.9196158,323.8805664,323.8413112
0.00225,0.967813674,324.3924175,324.3509527,324.3062737,324.2613836,324.2207434,324.1771545,324.1344869,324.088871,324.0500043,324.0077881,323.9629832,323.9178199,323.8787724,323.8395179
0.00225,0.967722577,324.3906605,324.3491969,324.3045197,324.2596319,324.2189932,324.1754052,324.1327396,324.0871252,324.04826,324.0060451,323.9612412,323.9160799,323.8770342,323.8377803
0.00225,0.96763148,324.3889814,324.3475186,324.3028429,324.2579569,324.2173194,324.173732,324.1310679,324.0854546,324.0465905,324.0043768,323.9595734,323.9144137,323.8753695,323.8361157
0.00225,0.967540383,324.3873423,324.3458802,324.3012057,324.2563216,324.215685,324.1720981,324.1294355,324.0838232,324.0449601,324.0027473,323.9579443,323.9127862,323.8737433,323.8344896
0.00225,0.967449286,324.3858409,324.344379,324.2997053,324.2548224,324.2141863,324.1705992,324.1279375,324.0823257,324.0434631,324.0012507,323.9564476,323.9112905,323.8722484,323.8329943
0.00225,0.967358189,324.3845313,324.3430688,324.2983954,324.2535131,324.2128769,324.1692891,324.1266277,324.0810158,324.0421531,323.9999405,323.9551367,323.9099801,323.8709383,323.8316831
0.00225,0.967267092,324.3829361,324.3414746,324.2968027,324.2519225,324.2112876,324.1677005,324.1250408,324.0794302,324.0405687,323.9983573,323.9535541,323.9083993,323.8693591,323.8301042
0.00225,0.967175995,324.3811772,324.339717,324.2950471,324.2501693,324.209536,324.1659499,324.1232923,324.0776833,324.0388234,323.9966134,323.9518112,323.9066585,323.8676203,323.8283659
0.00225,0.967084899,324.3795184,324.3380586,324.2933898,324.2485136,324.2078811,324.1642951,324.1216387,324.0760305,324.0371714,323.9949621,323.95016,323.9050088,323.8659716,323.8267171
0.00225,0.966993802,324.3779077,324.336449,324.2917819,324.2469079,324.2062768,324.1626915,324.1200369,324.0744301,324.0355723,323.9933642,323.9485628,323.9034135,323.864378,323.8251237
0.00225,0.966902705,324.3760848,324.3346283,324.2899639,324.2450932,324.2044646,324.1608813,324.1182296,324.0726252,324.0337699,323.9915642,323.9467646,323.9016183,323.8625855,323.8233326
0.00225,0.966811608,324.3741952,324.3327396,324.2880766,324.2432078,324.2025805,324.1589979,324.1163478,324.0707448,324.0318907,323.9896862,323.9448874,323.8997429,323.8607117,323.8214593
0.00225,0.966720511,324.372571,324.3311148,324.2864516,324.2415833,324.2009556,324.1573723,324.1147222,324.0691189,324.0302646,323.9880598,323.9432602,323.898116,323.8590847,323.8198313
0.00225,0.966629414,324.3707509,324.3292958,324.2846342,324.2397681,324.1991419,324.1555595,324.1129111,324.0673093,324.0284564,323.9862529,323.9414542,323.8963119,323.8572823,323.8180293
0.00225,0.966538317,324.3690097,324.3275551,324.2828947,324.2380303,324.1974049,324.1538229,324.1111759,324.065575,324.026723,323.9845204,323.939722,323.8945813,323.8555527,323.8162997
0.00225,0.96644722,324.3673948,324.3259408,324.2812815,324.2364188,324.1957943,324.1522128,324.109567,324.0639671,324.025116,323.9829142,323.9381162,323.892977,323.8539496,323.8146966
0.00225,0.966356123,324.3656359,324.3241832,324.2795257,324.2346654,324.1940426,324.1504621,324.1078183,324.0622199,324.0233705,323.9811701,323.9363732,323.891236,323.8522104,323.812958
0.00225,0.966265026,324.3640357,324.3225834,324.2779268,324.2330681,324.1924459,324.1488656,324.1062229,324.0606253,324.0217765,323.9795768,323.93478,323.8896442,323.8506195,323.8113668
0.00225,0.966173929,324.3624696,324.3210176,324.276362,324.2315048,324.1908834,324.1473033,324.1046617,324.0590649,324.0202169,323.9780179,323.9332212,323.8880868,323.8490631,323.8098102
0.00225,0.966082832,324.3608229,324.319372,324.2747179,324.2298628,324.1892427,324.1456633,324.1030234,324.0574279,324.0185813,323.9763834,323.9315874,323.8864548,323.8474327,323.8081801
0.00225,0.965991736,324.3589241,324.3174751,324.2728234,324.2279714,324.1873536,324.1437759,324.1011386,324.0555454,324.0167009,323.9745052,323.9297108,323.8845811,323.8455613,323.8063099
0.00225,0.965900639,324.357208,324.3157598,324.2711093,324.2262592,324.1856424,324.1420653,324.0994294,324.0538372,324.0149939,323.9727991,323.9280053,323.8828771,323.8438587,323.8046074
0.00225,0.965809542,324.3554786,324.3140311,324.2693818,324.2245335,324.1839177,324.1403413,324.0977068,324.0521157,324.0132734,323.9710796,323.9262863,323.8811598,323.8421426,323.8028915
0.00225,0.965718445,324.3538634,324.3124159,324.2677671,324.2229199,324.1823045,324.1387279,324.0960941,324.0505034,324.0116615,323.969468,323.9246745,323.879549,323.8405323,323.8012807
0.00225,0.965627348,324.3523876,324.3109399,324.2662915,324.2214453,324.18083,324.1372532,324.0946199,324.0490294,324.0101878,323.9679944,323.9232006,323.8780758,323.8390596,323.7998073
0.00225,0.965536251,324.3506693,324.3092231,324.2645765,324.2197328,324.1791193,324.1355436,324.0929124,324.0473236,324.0084837,323.9662919,323.9214992,323.8763767,323.8373624,323.7981107
0.00225,0.965445154,324.3489447,324.307499,324.2628534,324.2180114,324.1773988,324.1338234,324.0911934,324.0456056,324.0067665,323.9645755,323.9197831,323.8746621,323.8356489,323.7963972
0.00225,0.965354057,324.3473828,324.305937,324.2612917,324.2164508,324.1758383,324.1322627,324.0896333,324.0440457,324.0052069,323.963016,323.9182233,323.8731031,323.8340904,323.794838
0.00225,0.96526296,324.3459025,324.3044569,324.2598125,324.214973,324.1743611,324.1307855,324.088157,324.0425701,324.0037319,323.9615415,323.9167488,323.8716298,323.832618,323.7933652
0.00225,0.965171863,324.3442482,324.302804,324.2581614,324.2133244,324.1727142,324.1291398,324.0865133,324.0409281,324.0020915,323.9599027,323.9151109,323.8699942,323.8309843,323.791732
0.00225,0.965080766,324.3423849,324.3009424,324.2563021,324.2114678,324.1708597,324.1272868,324.0846626,324.0390794,324.000245,323.958058,323.9132676,323.8681535,323.8291458,323.7898946
0.00225,0.964989669,324.3407953,324.2993527,324.2547127,324.2098795,324.1692716,324.1256983,324.0830748,324.0374919,323.9986577,323.9564708,323.9116802,323.866567,323.8275598,323.7883079
0.00225,0.964898573,324.3391792,324.2977369,324.2530978,324.208266,324.1676589,324.1240858,324.0814632,324.0358811,323.9970476,323.9548613,323.9100709,323.8649589,323.8259527,323.7867006
0.00225,0.964807476,324.3375043,324.2960625,324.2514244,324.2065942,324.165988,324.1224152,324.0797937,324.0342125,323.9953799,323.9531943,323.9084041,323.8632936,323.8242885,323.7850363
0.00225,0.964716379,324.3360597,324.2946178,324.24998,324.2051508,324.1645448,324.1209717,324.0783508,324.0327698,323.9939374,323.9517519,323.9069613,323.8618516,323.822847,323.783594
0.00225,0.964625282,324.3343298,324.2928892,324.2482533,324.2034266,324.1628223,324.1192503,324.0766314,324.0310521,323.9922214,323.9500374,323.9052479,323.8601404,323.8211377,323.7818854
0.00225,0.964534185,324.3326832,324.2912435,324.2466089,324.2017841,324.161181,324.1176097,324.0749922,324.0294142,323.9905846,323.9484016,323.9036127,323.858507,323.8195056,323.7802534
0.00225,0.964443088,324.3311265,324.2896874,324.245054,324.2002309,324.1596289,324.1160581,324.0734418,324.0278648,323.9890363,323.9468541,323.9020656,323.8569614,323.8179613,323.7787091
0.00225,0.964351991,324.3296371,324.2881981,324.2435651,324.198743,324.1581413,324.1145703,324.0719546,324.0263779,323.9875498,323.9453678,323.900579,323.8554757,323.8164762,323.7772235
